,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,22638.0674,9953.823057,40256.13997,38574.52632,67913.8505,67450.69345,53789.49834,123526.6009,23819.85057,24498.65087,35936.98551,35760.40108,61399.28822,30389.4692,24617.61877,31181.84425,62044.07063,22360.39262,41798.17992,61986.28761,54120.50443,51515.258,58704.41387,41622.4669,45108.94032,31534.15639,44931.42379,41837.39393,71517.54456,43065.46062,57706.97279,53838.95292,49725.62077,52203.05378,61885.845,93385.00317,77770.43317,93747.92885,140482.5722,142961.7913,64793.42763,66812.11195,57921.11136,63611.86558,77598.22672,62057.16886,91803.93688,54792.51581,69095.4779,60460.02552,44202.46132,82817.7762,37273.88125,118840.8811,55047.20644,44851.02037,56326.16766,38587.214,41238.367,29323.18407,27399.96424,43809.53501,55634.34516,20984.65709,39631.05914,20991.42306,33816.05498,43574.94012,21657.45884,66798.04194,12270.87208,30876.18605,26038.26814,19798.40025,49943.95903,20039.14079,7044.232103,32303.85572,48031.92301,67271.4044,32957.16228,24910.97789,70044.81392,10589.91657,89440.85351,76216.25614,102159.5976
SECOND WARD,22638.0674,0,13940.39999,22227.32709,50125.62139,74432.86421,54248.39887,36755.91636,135269.3346,33973.52793,13980.9065,16782.58662,21549.43303,40125.97932,39391.60679,33263.02234,20036.1014,56536.58135,21710.22087,51697.19166,72821.70815,35207.26009,64526.19805,43666.63524,29600.53174,59037.14901,35675.5914,52968.02538,33952.76889,80574.22294,39662.07349,46920.85645,59542.77488,52243.06249,59102.63129,57001.12423,100011.8518,79831.1499,92920.21619,133890.0879,136213.312,73845.72159,82242.55946,69523.79799,78457.3246,84507.34352,74057.45991,74835.81841,54860.63729,79643.7042,67851.32617,44921.42671,94165.7282,24864.79718,100172.6925,63359.85184,52280.26083,67271.85174,45128.95259,34496.56198,32982.87929,26677.98977,31609.8561,36907.24744,28280.97122,50811.15585,22020.01229,16902.90862,24440.56035,29244.43627,78564.94856,24274.98183,14965.23257,37488.4102,14435.38968,61710.18681,7419.360821,19329.10647,40627.90702,57882.59669,51401.45226,14700.4298,36629.56284,81718.44634,25148.27328,100849.8072,87541.2581,113427.8414
DOWNTOWN,9953.823057,13940.39999,0,30874.84447,42096.86652,68843.17277,59038.94657,44689.34246,127160.6693,27251.80616,14992.6621,26512.6,29410.31674,51531.96064,33346.46379,27221.83558,21651.58868,55714.54793,17555.65444,45216.78263,65542.47069,44184.27519,54922.25823,50748.52591,32572.7635,48705.75803,30666.26815,47018.61586,33890.44819,74539.94241,37488.49978,49095.51869,54155.56515,48046.81137,53424.64802,55175.11162,94420.85128,75949.42747,90216.84444,133558.9133,136006.9837,67810.55556,70760.44838,61546.37483,68594.16185,79973.21546,67691.21269,82665.12114,51693.16872,72492.74182,62934.11809,41441.83277,86399.50148,30221.30852,109689.8781,57787.27837,47278.41689,59806.28123,40665.90091,34353.99134,28840.80424,24960.98054,37126.14344,46462.93531,22974.18539,43068.50674,18324.72016,24665.97021,34148.00446,23914.82441,70445.62467,16541.93871,21470.86117,29603.00288,10923.44261,53594.28411,10750.43569,10777.89783,34944.39237,51231.26047,58124.37208,23533.05438,28549.89236,73632.82832,13819.65512,93048.21255,79855.99667,105811.2413
CLINTON PARK TRI-COMMUNITY,40256.13997,22227.32709,30874.84447,0,71906.18436,92850.0458,47801.9409,32330.21492,156513.9539,56180.64014,26291.03753,16524.42116,11679.04637,23944.2457,61033.47712,54859.93498,30600.37569,57614.83793,39323.86888,73639.64075,94304.37492,24294.70178,83154.81855,33909.2947,28536.10144,77829.03506,53449.83735,73795.65468,32515.99737,101854.0885,47762.78351,36436.8716,77234.88349,64832.75895,73956.19348,51679.94638,117768.0237,89013.40583,96212.47877,123402.6259,125619.2424,95155.85831,100883.8166,89755.92726,94775.66303,97920.10416,90291.77455,62942.79988,59495.8592,98627.39609,83006.80166,51918.5585,113993.1678,22467.51174,83646.59746,80195.61524,68616.03282,86808.14431,61014.80818,37265.9415,48888.29162,39873.40569,24105.29936,26786.0113,45558.46668,70243.15697,38151.123,28280.86176,17265.83974,47227.89005,99608.54049,40614.55869,19702.43682,57851.04125,31430.76556,82651.89698,22873.25896,35885.41196,58365.0818,76447.84844,44775.7617,13363.21159,57410.44226,103325.7333,41687.17843,122945.572,109700.5341,135617.5891
GREATER UPTOWN,38574.52632,50125.62139,42096.86652,71906.18436,0,48184.35727,82116.55262,71871.27963,85574.53713,28532.03929,50221.82904,60837.79325,70401.48474,86338.76834,26119.57837,32148.52742,53075.40361,70581.22382,44718.50731,21050.55841,34904.75981,77259.567,27614.98682,90563.9082,71578.01182,34334.39387,41224.91207,31236.25705,59357.35143,44880.98995,54698.28934,76730.87376,42644.63322,48968.71203,58162.95298,71548.75217,78682.88638,70346.39594,98251.00319,147909.4807,152494.2199,37724.66222,46508.09177,24258.78111,43842.10446,61123.14859,54665.28047,109573.1193,63294.41625,40981.2547,52408.61313,50508.60494,48434.58311,65964.33523,137037.4772,42473.56223,37251.74655,33962.71862,40471.35171,55995.52203,39550.06738,46797.41804,72543.347,78056.61743,37688.46563,21115.78044,42071.63522,55112.88291,70015.43949,29292.08941,31435.2165,38252.92751,57724.40089,19855.89995,42226.35049,17441.92715,49521.08489,38723.89335,30967.61556,33295.95627,89011.73671,61415.04683,16036.62896,31765.78328,30650.97863,51934.54258,39537.06606,65352.77644
GREATER INWOOD,67913.8505,74432.86421,68843.17277,92850.0458,48184.35727,0,116150.3245,99799.00095,103808.4564,47513.49224,67264.76529,77114.68857,81613.99483,92332.87044,39549.30027,44126.47717,62586.65604,112021.9232,54117.88839,32821.72564,31477.29534,83135.22055,29712.49158,95421.2193,76578.12418,28222.39658,39700.47759,24838.09521,63567.49193,27095.30225,48093.45242,73855.54701,15624.12753,35191.57054,26170.8921,63507.62782,37402.53172,33306.24275,70507.43074,120172.3145,130186.5653,17948.13459,32510.72065,69875.8948,82103.61423,106938.6769,101459.3235,135899.5907,107796.5327,86369.00046,95633.5769,94333.68853,81475.32863,99058.50242,162521.4296,90226.90373,84998.15075,80169.59648,86296.29417,97914.26965,84112.73183,88631.77047,105963.6074,109158.8037,78865.9694,69093.90127,79901.57863,86889.92537,98661.59579,72909.20104,66075.30111,77310.37917,89366.16206,65903.09237,77451.15935,59503.36267,79555.46993,71696.01084,78388.79217,80273.54193,125672.9879,87780.2843,58830.12222,58662.80318,64541.09601,60148.17163,48499.25276,69806.2802
GREATER HOBBY AREA,67450.69345,54248.39887,59038.94657,47801.9409,82116.55262,116150.3245,0,21573.12075,147317.9768,69760.86395,61335.62169,51762.25618,57809.26243,59147.58676,82577.23349,74072.5746,73094.80978,23942.55831,70120.04066,90458.83399,114128.2144,72003.13462,105742.4071,81037.71227,75093.09243,105387.6401,87149.01273,92323.02018,76828.30936,122832.1162,82303.25292,79209.77108,102344.6431,96430.29517,112301.212,93856.72588,148821.6133,123806.1511,135326.7762,165640.1971,167779.5787,111643.6182,125168.1951,87358.54817,98900.60175,70705.18079,83943.32257,28393.295,32033.55086,85348.97994,59127.89533,35995.41624,105183.8512,38027.65857,54930.34251,74957.11557,65698.41128,85898.93867,55565.78952,29069.51258,51438.98629,40138.0451,31564.55825,25333.84095,56476.16686,81705.06725,46932.92087,37982.6227,42121.4765,62246.61088,103992.5333,58078.64159,43390.02269,68810.63116,48186.17295,86308.60319,50662.85427,60505.15489,63449.43607,72643.00336,23593.99444,47141.79298,71256.40809,106332.0504,63092.50451,123347.2222,112012.9129,137204.5191
GOLFCREST / BELLFORT / REVEILLE,53789.49834,36755.91636,44689.34246,32330.21492,71871.27963,99799.00095,21573.12075,0,141425.1459,55014.09753,43542.81771,37306.47457,40209.29639,47159.38864,69492.49314,58786.54585,53627.95118,25306.29092,53794.18295,79322.91618,103181.6236,54992.40165,94758.81258,66238.27914,56470.13693,93280.94671,70760.00157,76488.10371,57983.83693,111731.1169,65916.71161,65922.05269,85649.93972,79528.56128,95850.96883,79388.19326,134612.5956,107085.4027,119390.82,153006.0862,155227.1993,99952.80954,114112.8698,78261.71813,90747.49726,71273.21973,77026.78994,38223.03671,28986.33012,79095.0047,59028.66338,27787.86612,97384.75929,19898.14794,65620.395,67466.68647,56746.14041,77309.57008,46162.33212,20214.61153,42145.62936,27636.86434,17850.52011,20200.84161,46251.04317,71518.0082,33001.70852,20382.28828,26768.96732,51250.45551,94543.5288,47270.05757,26384.90544,58032.60231,34112.76252,76261.93004,35334.33617,48137.36701,53583.47804,63468.2496,27658.32982,29170.42202,60274.3576,96503.91237,51942.13382,113245.1663,101061.167,126825.449
ELDRIDGE / WEST OAKS,123526.6009,135269.3346,127160.6693,156513.9539,85574.53713,103808.4564,147317.9768,141425.1459,0,102274.789,135715.7777,144430.4023,155930.0387,162927.1799,105309.3724,111584.6732,137927.6927,135863.4918,130292.9064,92352.52035,76986.73267,159821.7219,84530.68236,176089.7281,157118.3193,93578.27096,121955.0707,102447.8645,144041.25,83564.11608,138947.4056,160303.7872,111376.1017,125688.5965,129580.6392,151363.2324,111082.7276,133689.0613,157252.4557,189140.8313,194599.5373,87977.7607,77801.72844,67902.09981,67764.64685,88418.36386,84714.43913,162691.7327,125045.7636,66837.93284,91715.95392,123004.8107,48009.46955,147870.273,191904.0089,87590.31242,98606.19473,73600.38863,105914.2313,131793.4332,112650.0063,124099.5439,153587.2057,158482.5539,114025.0568,86483.53136,121974.7865,137887.5992,152713.4008,112016.6115,56941.62506,120925.6176,140696.178,98889.73151,125413.4402,73902.058,133667.5995,122295.5103,102729.2649,85687.96095,166137.1056,145484.1394,99116.47828,53832.99118,114883.7565,44143.59303,55403.55619,38172.78918
WASHINGTON AVENUE COALITION / MEMORIAL PARK,23819.85057,33973.52793,27251.80616,56180.64014,28532.03929,47513.49224,69760.86395,55014.09753,102274.789,0,33549.75346,43635.03767,53706.33914,60654.33332,15511.81767,16290.21513,35930.73175,65243.38245,28022.99862,28133.15098,52361.73288,57642.30074,44086.08535,73907.76626,54918.0867,39070.47249,26163.70168,22868.0237,42842.66929,59140.61959,38173.94297,59209.70405,38152.63502,41091.86271,45609.36639,56121.52076,79707.26787,65960.677,87639.30653,134733.8737,137221.7624,45499.10242,61856.2423,43679.08045,62919.37266,70216.9351,64551.60802,92765.28757,60333.10567,55787.79634,58305.40791,48067.56293,64902.93013,55720.6317,119542.1387,49778.18027,40637.88182,49325.93696,38895.81301,50999.65561,36599.53687,41621.3479,62788.03216,67835.7134,31877.21859,33845.57698,33690.97492,43137.00005,57536.24013,25396.3785,56627.82064,30905.11362,46780.72596,19272.92273,32768.44472,37265.93647,37082.28218,26580.30709,32197.32648,40122.68073,81669.20574,47972.27105,14280.76933,55853.84655,18180.07665,66912.38666,53590.19825,79456.16695
