,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,14934.23253,5317.750262,35965.74725,28441.4348,49626.97601,55068.13416,39309.26481,90009.13012,12305.95193,15538.41818,25981.63719,32256.83518,49813.85914,21117.84419,13795.65129,22540.40892,52755.50888,13817.57209,32828.59024,54522.77387,43945.03175,44974.21793,54306.74151,36531.78746,41425.15278,24031.85194,30630.28437,32277.10962,62396.09709,33435.22653,47731.20137,40242.77928,33479.54885,47974.47405,47044.75855,85869.07561,65430.07482,79031.67828,120149.9331,104725.8172,51322.41825,61707.78559,47466.87582,58650.13034,64798.80766,59099.84067,75905.72746,45071.0444,56177.24091,47809.77384,33918.52579,68195.57406,32600.7437,99111.20514,46562.7676,36314.58155,49064.05274,29759.70919,33520.91475,22961.92311,23086.02074,38971.38842,47467.55302,15589.06592,33827.62119,16120.30151,25297.09521,37261.93717,13312.39835,58213.2618,8958.490026,24507.63754,16733.40096,11222.66227,41168.46183,14928.60893,4034.452958,25751.43,39075.77926,62316.35456,26411.46091,15958.4689,60107.83584,4930.64727,63213.85253,57331.18636,79816.43688
SECOND WARD,14934.23253,0,6061.287697,15022.78099,40560.33252,56220.93974,41003.73377,24975.61413,101544.2048,23340.08796,5875.671505,7605.444848,15076.55241,28645.24684,30627.64909,19231.7878,15340.23914,45571.10501,12207.31771,43025.81414,65573.11224,26259.48524,57206.7711,38600.84005,23888.14156,52565.16546,27762.7587,38078.1378,25035.46622,72634.75294,30293.02306,35412.99634,45550.16321,34926.06038,52891.71844,41125.35546,92267.92572,66806.16224,76347.96416,112877.9787,94979.0252,60140.90775,75320.34566,58895.06056,70548.2302,71029.57084,67108.49396,58788.06976,41697.46263,65914.76792,51980.5276,32054.90524,79579.62444,16673.83357,81111.30264,55258.36426,44117.15224,59864.28692,35148.12682,25914.76993,27121.71165,19168.87977,23316.58093,28073.73545,21004.19959,45155.73273,14171.08546,11826.97031,16937.41254,22477.06764,69957.4608,16506.80203,6753.149984,28326.47267,8200.235477,52902.97729,3228.92742,11466.15321,34292.27797,48834.6311,44579.48438,6204.185753,27593.20533,71660.70864,17207.82472,74669.83161,68393.458,90706.70463
DOWNTOWN,5317.750262,6061.287697,0,26624.46544,32048.41703,50550.97751,46474.66016,30514.1479,93521.28091,15857.9931,6599.692075,16422.12293,24000.92627,40044.82828,24293.27797,13662.66414,14369.68699,46333.92977,9034.957651,36306.86059,58082.82416,34065.58654,48494.22284,45751.93821,27564.79612,44468.78949,22775.64389,32223.85071,24296.18179,65636.95514,28107.61359,38809.09939,40262.80815,31099.40133,46579.69793,39861.3166,86746.8408,63281.79588,74167.00638,113014.5441,96870.42803,54090.44587,65427.48346,51048.23594,62387.33551,66690.34419,61760.10862,66880.90925,40164.48868,59332.92946,48086.93163,29547.44072,71770.9019,25005.45385,90019.87312,49410.87034,38808.48751,52508.14372,30973.01311,26258.91181,23076.86545,19041.94164,31914.90528,38170.47412,16342.7837,37373.27065,11754.36605,16310.12608,27838.23684,15976.88359,61851.83572,10143.19466,15685.25694,20328.70293,5093.057716,44789.48044,5976.91726,4114.375737,28434.45554,42203.48128,53196.54853,17094.72442,19532.33521,63650.82727,8154.798167,66828.22258,61005.55495,83455.48932
CLINTON PARK TRI-COMMUNITY,35965.74725,15022.78099,26624.46544,0,61706.54995,75833.11894,34586.40424,21790.75783,123341.0864,45426.36303,18341.60565,8027.82163,3966.535828,12398.75159,52568.8592,39963.89677,21371.19171,45038.21087,30230.76646,65062.14299,86915.68195,16087.04215,77684.21871,26538.2849,20153.02732,72089.25398,46154.63484,58810.59598,24646.43779,93259.00696,36089.41839,25224.57441,63576.61627,47831.58142,65979.22083,37019.33469,109750.796,75129.98309,74821.63574,102483.9677,82438.19012,81384.74677,95035.89574,79087.90072,90496.0837,84710.37253,83555.12531,46326.98225,45312.49721,84384.42588,62842.23017,39652.63362,99636.1213,12719.34541,66254.14219,72718.84767,61212.89498,79251.40549,50991.14479,29948.6157,42590.44438,30010.63437,14136.20023,14469.42352,39731.25255,65377.11932,29826.3583,18918.99327,7260.509496,41942.47328,91241.13411,36864.33891,11862.30338,49120.38159,25227.43924,74181.33868,17698.73113,32499.81632,52432.95671,67526.49285,34968.22095,6515.836395,49253.92264,93446.63087,38322.4898,96706.01501,90592.81283,112862.3605
GREATER UPTOWN,28441.4348,40560.33252,32048.41703,61706.54995,0,32854.74169,68636.04694,56108.61339,51711.95344,10447.71706,40137.00822,50876.1016,60176.91844,74666.15591,16109.40123,21654.09434,42581.89147,61317.78348,34672.94617,10091.31976,24064.16989,66858.09412,16142.28921,80367.95182,61449.66421,23164.29587,31282.54331,21147.2755,49880.89889,33721.43941,44553.31356,66535.67344,31918.18624,38449.13239,48440.07496,60019.47121,67609.23281,59512.35412,82008.47113,128921.6989,119015.2307,26848.45565,35432.33463,15268.06093,32489.55177,50148.19357,43978.1303,92405.80574,53605.81683,30745.0754,38087.78708,41591.20247,33964.25424,56961.01934,116475.9781,32265.98548,27177.74045,23078.92914,31079.04543,47482.55215,30410.82153,38529.80229,63749.9161,69639.34018,29264.3891,10751.32974,33313.10059,45600.01067,61783.15048,21380.4266,22504.76686,29930.1132,48440.15412,11223.90606,33155.049,6082.274206,39818.40227,28930.12129,21178.4304,22673.69029,81031.94099,51734.23515,6912.641476,21698.55722,20637.89448,25908.53084,23319.01377,45145.40549
GREATER INWOOD,49626.97601,56220.93974,50550.97751,75833.11894,32854.74169,0,99534.58299,83854.84109,67004.90109,31930.23548,49657.49917,60102.41644,65625.68286,79393.81495,22322.659,29033.03426,46381.06818,95508.61276,37483.14659,18026.27334,21308.66926,68653.00359,17223.62581,81269.89336,62481.34514,13830.52566,23328.35498,10393.4264,48963.62627,18999.6512,36573.70283,62182.7822,6316.065193,23824.39009,20121.17746,50068.70247,27740.97972,25240.77445,53587.73709,103169.3671,104127.9989,6707.089924,24203.45905,54807.0861,69278.18577,92228.1229,86352.62643,120302.5195,89989.9974,71989.54506,79693.77706,76525.6553,67431.02134,80726.44114,143164.0441,74860.37993,68341.94268,65100.45966,68874.61448,79851.53935,66499.51358,70630.93469,87651.89917,91150.30614,60912.04195,52968.01396,61765.10964,69831.80045,80550.34014,55332.33095,53256.43803,59221.04342,71164.02954,48930.08512,59131.45528,45257.13558,61232.12747,53433.95695,61635.47844,65000.36293,107305.0342,69952.56466,41964.76632,46967.59559,46563.7393,40955.12526,28368.02888,43754.59565
GREATER HOBBY AREA,55068.13416,41003.73377,46474.66016,34586.40424,68636.04694,99534.58299,0,7609.35631,119759.3885,57345.257,48019.23981,40218.00734,44208.0806,47095.78786,70439.02627,61453.38004,59562.64491,8327.723405,57042.19267,78811.18046,101729.5335,58534.77495,93511.36851,66846.87433,61544.88818,93617.11215,74068.64684,78621.50659,63252.55996,110839.4158,71952.67244,67749.35026,88525.70874,78885.62613,99196.23329,79007.82029,136385.1583,110485.3169,115968.9208,144538.7288,122918.8084,100121.3062,113009.5269,72477.28078,83420.45958,59007.46474,68004.61959,11974.43774,16551.58114,69598.31286,37950.35089,21800.15048,89554.81307,24929.62152,35671.38754,59420.98753,51013.20043,70689.00635,41048.98315,16174.17622,37454.07453,27948.53611,18828.88425,13192.99466,43483.85024,67219.15884,34433.60499,24819.64114,28528.41964,49327.29382,89284.05478,46152.52493,30318.31275,56532.23622,35658.00917,72470.37414,37827.81591,48531.47495,49661.74741,58024.92269,12881.67922,33830.12818,59441.45114,92029.09676,51576.69811,98128.62116,96733.10059,118193.0057
GOLFCREST / BELLFORT / REVEILLE,39309.26481,24975.61413,30514.1479,21790.75783,56108.61339,83854.84109,7609.35631,0,111231.128,42068.05094,31960.2445,25521.2329,30358.14551,37104.30946,54826.2296,45152.97693,43990.11175,13363.11823,40836.68634,64007.70643,87586.88132,44463.53275,79214.28626,54857.07747,46554.06807,78343.54849,57876.4968,62301.86579,48183.78403,96302.5808,56019.86928,54214.23777,71818.54307,62076.54802,83024.21553,63968.30667,120551.3817,93927.05442,100949.3501,131968.5284,111813.2359,84974.4409,98617.91823,63240.86415,76271.86642,59143.28121,64149.73721,22923.33388,16192.91181,64597.39491,37426.55016,15789.59287,82916.93893,10310.3672,47565.0028,53174.82144,41980.10587,62496.51959,31195.87186,7485.88079,26632.41235,12874.60941,7865.386733,8781.105119,30610.05316,55758.93407,18629.22167,9006.057697,15578.715,35614.81802,79017.41946,31818.36533,14396.43713,42464.48824,19786.432,61529.38496,21730.28826,33155.91688,38135.43389,48613.74972,16842.80208,19094.38861,44843.21627,81939.70461,36628.57131,87321.89855,84220.50516,106364.1235
ELDRIDGE / WEST OAKS,90009.13012,101544.2048,93521.28091,123341.0864,51711.95344,67004.90109,119759.3885,111231.128,0,67945.06519,101460.4401,110895.4211,121455.1839,128175.496,69143.43342,75266.82293,102698.0902,110975.1582,95118.04384,55987.10896,40452.09279,124686.098,48402.07944,140851.925,122049.0223,56633.53567,85558.82954,65379.11619,108292.4616,48328.99201,103078.8872,124337.9773,74163.3411,88746.11235,92402.95612,114846.276,80380.63041,96862.42791,120236.4685,168481.2531,164340.8298,51349.19289,43041.66829,38077.57761,41414.92284,68695.44761,64895.08614,135639.4759,100014.9098,47228.01379,69520.73042,95054.33458,21729.9874,116651.6956,166482.7121,62338.07852,71659.69543,48862.67268,79671.19444,102546.0593,83266.78596,94940.92078,122898.3979,128158.8975,84133.78055,55801.04826,91748.08324,105715.946,121040.0384,80071.51136,25737.42158,89063.31732,108775.1614,67054.31351,93332.00912,41325.07497,100964.6319,89908.89967,72498.51215,59190.43836,137490.2666,112808.1166,66922.39449,20185.45271,82054.56742,12902.59897,21766.02407,16518.9174
WASHINGTON AVENUE COALITION / MEMORIAL PARK,12305.95193,23340.08796,15857.9931,45426.36303,10447.71706,31930.23548,57345.257,42068.05094,67945.06519,0,22845.36404,32891.99182,42779.91165,49573.98112,6313.687171,6449.860945,24748.919,55813.81586,16959.95189,10818.97832,35076.69103,46456.29751,26631.68441,62703.76942,43757.10015,25048.74789,17314.40772,15291.41334,31685.12937,42815.69395,27467.32864,47998.3395,26134.1099,26888.8235,39012.02152,41872.69939,69121.3602,54955.00384,73003.88987,114530.5029,99514.45262,31166.02333,45288.43534,30446.10162,48390.64238,62159.43998,55194.85266,77188.74582,48618.9713,44300.12499,46136.115,37512.61465,50178.63984,43543.95956,100087.7774,41286.91422,32948.19172,36608.74407,30640.99561,38718.11649,26063.43252,29457.43653,50575.25384,55867.85103,19987.61521,20910.65413,21426.61008,31058.14528,45798.17936,15180.15635,39269.59464,18703.07332,34645.01263,11574.65474,20443.83841,21431.24427,25207.5921,14551.69221,24520.74643,32026.98238,69298.37534,36367.29597,5300.475979,38156.49007,6763.533734,40778.46942,34524.22643,56808.68892
