,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,20109.55837,8130.985422,37991.81788,34214.64217,60037.32646,61982.04491,46207.27281,105513.9826,20839.65758,19754.07672,31760.53065,34424.07758,57905.6393,27265.55096,19538.12879,27487.18486,58373.45365,19782.97003,38958.02677,59395.74931,49983.91393,48565.89721,57151.95973,39350.18654,43352.34381,28935.17848,39660.53369,37555.08103,68302.02483,39736.20131,53996.58513,47084.46961,40661.30218,50226.97341,53888.12749,90917.38015,72978.68589,89274.44065,131269.7663,133726.1257,57578.47696,65093.18946,54880.70212,61927.37553,71757.80488,60999.14502,86876.03696,49441.59152,63701.57836,56182.588,39119.64689,75194.5434,35416.54354,110481.611,51244.21142,41218.33694,53525.41548,34700.15481,39364.92093,26568.16368,25913.80228,41712.9441,51819.27281,18721.21015,37199.6043,18917.49265,30341.91106,41088.00933,18618.91692,64704.74798,10785.53216,28308.23962,23079.59723,16009.20181,47878.90872,18375.44907,6081.398346,29564.63804,44532.71666,65773.49286,30407.37875,22109.63463,67934.49373,7850.014021,78414.46243,64798.24043,93038.29355
SECOND WARD,20109.55837,0,11009.80483,20262.98897,45798.97224,66934.58569,49136.5945,31049.19603,117191.264,31953.24483,10542.47298,12877.281,19925.20958,36069.79502,36512.07526,27047.4396,18166.60264,50913.97071,18785.66514,49127.7795,70859.86436,31921.53193,62489.62238,41957.02225,27745.28591,57739.18014,32434.14511,47649.27221,30955.20103,77905.37483,36824.65635,42188.13146,51775.65116,41965.85185,56776.53465,48813.53905,97317.97168,75081.78349,86838.42062,123831.7833,123683.4055,66474.90969,80595.32544,66497.64776,75150.5406,78752.86989,70751.39461,69240.42698,48119.22876,73947.20229,62528.02161,39209.92772,86759.44791,21410.06486,92528.66683,59773.30255,48802.39508,64399.30731,40985.88508,31074.97254,30348.60434,23605.61853,28142.58874,33288.75693,24955.38684,48467.99949,18174.15656,14968.14664,21159.28108,26485.68378,76441.85374,21020.5404,11616.61783,34671.20705,11293.87868,59579.21246,5558.10851,16267.46838,37792.00337,54398.82764,47995.02762,11535.26285,33807.83222,79493.23233,22162.3974,89842.09345,75957.44344,104365.1444
DOWNTOWN,8130.985422,11009.80483,0,28775.46019,37743.30558,61241.21507,53621.38817,37171.36711,109107.9038,24446.05115,10205.18877,22440.14815,27472.55262,48200.62246,30322.80972,21099.26794,18486.80415,51908.80483,15732.39897,42439.28364,63013.56673,40091.73867,52049.68197,48898.6461,30537.53677,46777.65045,27635.64479,41694.84367,29843.72094,71416.98126,34603.58968,45225.18245,46700.43156,38225.50056,50671.93444,47030.0463,91795.6864,71213.2101,84652.24786,124101.5874,125960.7949,60434.19185,68903.08421,58507.25092,65401.27937,74162.47967,64724.99224,77782.0895,45471.93145,67029.87291,58166.28041,35799.97313,78831.0585,27919.23775,101369.612,54023.55316,43663.14745,56982.57149,36586.41895,32118.64106,26362.49628,22469.41655,34886.22324,42617.53165,19729.08583,40729.26307,16180.23497,21220.45617,31667.6725,20895.59415,68331.45817,14306.89743,18982.22058,26686.15777,9027.251189,51492.34212,9088.561751,7841.335817,32092.26967,47724.32161,56642.20646,21011.76745,25718.04821,71471.58172,11287.16671,82012.1302,68492.82265,96784.31373
CLINTON PARK TRI-COMMUNITY,37991.81788,20262.98897,28775.46019,0,67517.31333,86439.74944,44050.48725,26980.27322,138689.9105,54066.69479,22928.27705,12746.67907,9113.37355,19832.58345,58317.42552,48356.1014,26922.53229,51398.70757,35112.48928,71170.47964,92013.05485,21798.18222,80618.44383,30636.27955,26147.30065,75033.86298,50384.13213,68592.64171,29051.22559,98830.25963,42685.90479,32097.24391,69099.10632,55228.045,71084.19824,44151.27118,114678.4201,84742.3811,86519.51421,113050.0199,111286.0228,87764.94456,98007.82386,86906.04296,92860.36046,92624.82423,87738.83456,55362.76101,53061.41729,92652.63921,76423.48106,46965.08089,107128.0081,19244.78508,77303.88676,77018.93036,65540.44858,83897.73542,56960.1005,33931.98941,46248.59592,35914.79279,20519.47254,20620.66427,42448.21778,68593.63914,34391.00165,25112.41685,13543.77781,45091.33293,97744.80059,38812.51134,16617.80766,55219.7208,28701.31576,80998.30075,20694.113,34297.38219,55909.04769,73073.21096,41028.00753,10638.59025,55243.901,101236.6296,40391.4377,111862.6265,98161.30907,126486.481
GREATER UPTOWN,34214.64217,45798.97224,37743.30558,67517.31333,0,40652.38765,75132.48465,64463.6933,67267.59765,24047.67551,45959.38887,57143.01591,66127.35939,83133.5451,22207.71071,27581.63837,49065.75016,66030.64944,40555.24605,16499.07761,30741.68288,72820.32307,23252.20475,86433.72797,67440.16829,30094.26339,37349.35678,27489.01639,55245.22099,40674.05189,50482.25368,72377.97044,38324.93535,44426.58282,54703.55106,66053.70528,74407.26647,65498.18812,90877.30834,140781.2765,144857.7225,33494.09617,42329.76655,21017.99454,39853.13413,58236.83513,51996.12209,103833.0263,58704.66632,37909.45078,45667.98972,46318.04217,40267.01956,62159.52817,128225.6163,40184.68096,33829.02528,31036.72031,36088.63364,52151.73195,35193.61433,43220.43715,68886.89382,74470.08062,34070.38905,18312.96968,38384.17594,51441.48275,65889.42145,26064.94234,27257.75731,34879.15457,53755.05748,15891.46001,38377.21915,13497.61337,45333.19647,34486.26916,27266.52256,30627.06702,85889.63004,57127.25782,13033.9913,29444.53146,26288.45265,40874.88679,30720.08324,56849.26606
GREATER INWOOD,60037.32646,66934.58569,61241.21507,86439.74944,40652.38765,0,108075.5616,91869.69635,85191.42307,39451.99312,60289.42658,71529.69937,75565.79265,88682.23192,31527.90421,36002.52686,56040.59235,103867.6362,47298.24866,25385.94242,27351.52695,77273.20329,23513.27174,90351.96528,71465.51055,20624.41912,33166.84267,17508.12705,58440.16571,23907.25785,43902.09716,69528.69336,11427.0171,29783.52391,23994.84787,58670.64043,33722.15111,30154.50844,62263.00792,115863.1916,121198.7037,12057.53631,29225.60903,62565.20857,75463.92812,99915.54963,94220.34085,131131.0381,99722.73062,79313.64818,87729.86094,86245.65435,75962.5734,91395.9993,154525.2229,83106.82224,77228.72326,72921.19475,78312.89312,89767.98725,76058.52638,80535.785,98336.06275,101941.7832,70650.16654,61700.73039,71846.31129,79103.58499,91298.58767,64825.4152,59482.35855,69179.17348,81901.66997,57940.4662,69620.27697,52307.09053,71927.28605,63781.4304,70526.52009,72977.97706,117959.8995,80638.6488,50910.91728,53128.16734,56434.82723,51807.78669,38801.24892,60065.09827
GREATER HOBBY AREA,61982.04491,49136.5945,53621.38817,44050.48725,75132.48465,108075.5616,0,16796.31394,132114.6109,64249.87916,56202.46302,47892.58017,53702.41972,54500.77239,77195.62104,68544.59153,68374.5436,17648.90149,64547.92747,85340.7757,108224.9288,68077.64343,99986.66456,76802.53081,70731.71014,100239.7675,81573.12178,87121.50363,72469.96708,117336.9607,78734.21557,74909.88324,95374.834,85927.70584,106655.1067,88358.29775,143219.7517,119100.6967,127054.869,155168.7046,152109.9214,106654.3564,119498.6408,79254.78991,90775.1566,66456.67157,76371.10956,22743.23771,24244.57188,77711.20818,52587.38734,28375.71975,97194.87303,33508.06038,46229.77171,67114.33532,57745.18264,77663.79786,47696.83002,22602.00722,44018.88995,34875.78071,27775.19479,20509.3165,50002.79093,73853.10741,41619.05426,33167.55241,38195.39046,55785.26645,95985.18745,52682.62275,38344.12161,63055.15687,42859.69486,79028.14869,45293.78409,55303.57515,56229.89074,64709.55702,19142.49779,42818.11083,65980.40914,98638.83052,58136.5303,112440.1278,104833.7671,128953.7603
GOLFCREST / BELLFORT / REVEILLE,46207.27281,31049.19603,37171.36711,26980.27322,64463.6933,91869.69635,16796.31394,0,124828.4643,49495.01646,38022.35364,33148.99574,35927.64963,43261.54942,61855.37067,51460.9561,49829.32998,19234.17615,46988.09457,71631.93072,95485.03839,50006.42575,87071.21954,60728.56621,52255.61205,85611.88971,64016.18861,71207.02814,53919.59896,104009.0446,62722.60453,61200.87753,78450.06814,69128.64937,89151.6606,71334.41102,127238.1454,102356.4108,111779.9475,142630.377,140869.7168,92289.74137,106408.1088,71527.39814,84602.71242,66664.93942,71855.64822,33419.32003,24084.1247,72849.58205,52205.86209,22406.39526,91361.12688,15743.38206,57099.09614,61358.61194,50248.57445,70897.14934,39439.07126,15090.1261,35328.06552,20052.69185,13164.05073,14711.58856,38942.26372,64141.83277,25377.65586,15035.81148,21234.41552,43537.32887,87548.50669,39680.67316,20490.66951,50419.57707,26508.42969,68953.91215,28007.40411,40448.45747,46459.69318,56745.0284,23084.50931,24719.19417,52594.94973,89324.37044,44244.24695,102155.345,92078.82481,118203.832
ELDRIDGE / WEST OAKS,105513.9826,117191.264,109107.9038,138689.9105,67267.59765,85191.42307,132114.6109,124828.4643,0,83891.3344,117395.8165,126399.1165,137541.7347,144427.0924,86395.98559,92633.02208,119296.7531,122135.3954,111808.7997,73363.70692,58190.83639,141166.1543,65599.69446,157393.4214,138479.8747,74552.94854,102969.0074,83456.00351,125273.468,65451.37673,120075.7925,141471.3164,92302.86544,106626.4384,110772.9127,132288.1013,94931.45639,115148.1367,138464.0391,180947.914,185796.9382,69266.82291,59638.20176,50946.75626,52489.03163,78382.33984,74586.3089,147799.8023,111167.6644,56848.43255,79568.89582,107717.4454,31900.66451,130852.9495,178080.9303,73234.82486,83664.44855,59397.64594,91141.93778,115642.5982,96344.2331,108034.8697,136866.1662,141885.6443,97524.97124,69340.69022,105319.1083,120416.9302,135503.4374,94650.47971,39549.71996,103509.6503,123419.6417,81457.45073,107903.4771,56362.71945,115954.9028,104713.9867,85969.14093,70666.67451,150397.2128,127842.744,81490.4418,35630.79211,97272.99664,27177.01641,36862.37688,25594.91326
WASHINGTON AVENUE COALITION / MEMORIAL PARK,20839.65758,31953.24483,24446.05115,54066.69479,24047.67551,39451.99312,64249.87916,49495.01646,83891.3344,0,31422.65232,41534.8195,51185.84068,57911.67633,11278.43595,12348.53436,32779.33633,61427.03361,25172.29971,23714.25567,47937.74381,54562.57263,39644.81337,70805.16932,51893.85001,34901.72818,22370.65832,18756.69792,39411.86655,54825.8572,34670.84527,55762.47404,33028.57181,34165.1976,42296.81066,48965.00098,75897.02392,61005.47481,83090.74755,125668.5914,128275.6133,41347.59544,57507.00058,39633.90205,58930.7556,66675.51267,60620.6769,87992.69703,54396.18843,51727.32192,53894.2876,42928.59387,59658.74946,51568.42325,111445.0102,45917.50679,37119.33889,45289.74879,33164.00036,45372.35422,30656.43534,35997.60949,58574.11944,64066.8962,26372.80188,29844.879,28670.64746,39162.11392,54221.11103,19521.46047,52291.38826,25826.4477,42724.61298,15567.26067,28011.31591,33084.93729,33549.82881,22606.28398,27975.0568,36407.92882,76936.15468,44861.69969,10660.06612,51439.23615,14012.8111,55931.1825,45416.1526,70372.66247
