,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,18875.08921,7389.914554,37345.75261,32221.17154,56585.37311,59932.2084,43908.68221,100768.6783,18976.8845,18493.06606,29022.13271,33862.46727,55444.75724,25847.54231,17749.0831,26129.38692,56859.06416,18380.72638,37339.89102,58178.46701,48437.02925,47413.23361,56287.9127,38425.81483,42750.57927,27531.18818,36818.78154,35888.18509,66303.25011,38305.91284,52192.67741,44970.28697,38805.45023,49686.70671,51557.74362,89803.71969,68542.17093,86856.11808,128307.5648,125269.1977,55194.57534,63881.5352,53088.58898,60936.20081,69017.55723,60394.23621,84231.40648,48218.20381,61248.67129,53815.26198,37524.89323,73110.39306,34617.42469,106625.2539,49675.3741,39745.20249,52160.34346,33001.76772,37995.36031,25493.21477,25128.75168,40725.14167,50316.5173,17933.74675,36281.47857,18028.83996,28423.59244,40025.24822,16876.11628,63123.49734,10129.29584,27301.72581,20355.99287,14433.49221,46513.46121,17567.61282,5561.117727,28464.00665,42477.76189,64921.80786,29371.63465,21176.56742,65737.65393,7026.826375,72890.49255,62499.17107,88781.69639
SECOND WARD,18875.08921,0,9733.520713,18867.82545,44376.33479,63677.06216,46328.56053,29553.2963,112367.4255,30189.24733,9266.210557,11405.36877,18701.78505,33865.63663,35086.61503,24298.61993,17305.52875,49552.67517,17141.66126,47468.33799,69612.23644,30500.88445,61235.30355,41066.509,26762.25029,56523.62045,31078.65585,44994.50507,29355.3111,76659.63253,35359.1731,40323.46502,49789.90802,40181.7937,55795.04315,45889.83468,96161.22306,70717.2112,84313.42172,120257.086,113926.6585,64315.24785,79357.34769,64613.06422,73659.88214,75566.02017,69396.88936,66572.47267,46228.68699,71308.02507,59017.04324,36412.01804,84678.67548,19931.18198,88862.12086,58295.48461,47357.81404,62997.74389,39019.44452,29548.23013,29339.67506,22254.24096,26689.21684,31545.40546,23533.82437,47654.72428,16781.09382,14186.95429,19776.80802,25160.89821,74862.87022,19573.32167,10211.00541,31924.80703,10266.37453,58232.51852,4933.983554,14975.77311,36707.1992,52207.12427,47086.26941,10099.38553,32850.15973,77321.18458,20859.09177,84338.85456,73402.606,99913.71775
DOWNTOWN,7389.914554,9733.520713,0,28108.93094,35813.00395,57925.22085,51437.26459,35141.56993,104317.3837,22592.33495,9051.613255,19505.84517,26340.84051,45786.52076,28891.94792,18411.54743,17318.29339,50451.43908,14134.19655,40822.33077,61774.47045,38551.50569,50900.2238,47927.58256,29743.30342,45980.84627,26231.40642,39003.2717,28244.60546,69545.9146,33144.17467,43374.55112,44640.26339,36419.76048,49303.30933,44385.89503,90642.93268,66680.0159,82107.94844,121012.1496,117113.8778,58185.52107,67676.6189,56698.80435,64417.59113,71209.72978,63551.58525,75141.57084,43680.5017,64516.22117,54735.51203,33193.9974,76731.56281,27113.96733,97536.56596,52487.79054,42185.85356,55606.83259,34704.77927,30556.78211,25324.36497,21630.67771,34056.13509,41063.43775,18790.62114,39843.30472,14835.47834,19331.38283,30608.87788,19248.30455,66756.1896,12973.16413,18002.10364,23935.32519,7704.358216,50130.00163,8277.386324,6664.0171,31021.94018,45601.06115,55791.83875,19995.64807,24778.77266,69271.43046,10391.75076,76453.20938,66160.16128,92365.0237
CLINTON PARK TRI-COMMUNITY,37345.75261,18867.82545,28108.93094,0,65605.43973,83402.28635,41095.68206,25130.64934,133972.0499,52255.00261,21541.98291,11456.94903,7713.857289,17591.70425,56874.31128,45403.78552,25359.20867,49055.72442,33482.39325,69513.4601,90727.8478,19796.11308,79532.95258,29031.83454,24337.45816,74237.59715,49019.03622,66011.30488,27761.48629,97141.737,40699.51476,29885.95252,67346.60243,53012.02275,69721.69136,41100.52095,113435.6033,81612.92823,82723.82811,109329.8041,100901.9366,85769.35514,97112.30108,84937.73615,92163.25907,89124.98212,86578.33924,52783.39158,50793.3824,89990.93251,72893.45863,44562.06956,104968.8917,17277.72633,74103.79826,75709.13097,64185.1974,82479.98555,54962.31429,32445.06017,45097.89579,34289.77164,18226.09557,19029.62894,41580.42101,67811.66402,32897.19251,23461.21055,11144.64199,44236.17222,96163.15746,38336.88573,15072.72829,52757.07281,27438.82371,79597.56375,19785.09417,33842.82682,54951.94249,70879.99349,38560.73342,9369.402222,54272.94897,99067.57932,39664.50311,106339.796,95582.85487,122115.4563
GREATER UPTOWN,32221.17154,44376.33479,35813.00395,65605.43973,0,37563.93864,73054.29175,61317.84437,62431.92136,20006.49154,43703.58474,54335.60505,63843.38714,80769.81284,20688.95464,25977.48153,47176.84961,64689.59516,38299.39492,14811.03591,28187.23452,71192.40083,20560.70082,84113.99699,65153.1381,27770.56073,35850.43641,25837.79428,53282.16185,38030.3613,48634.86247,70779.5096,36604.45586,42830.58866,53157.28714,64259.49286,72219.11066,63458.08937,88617.32979,137834.1419,138507.1867,31397.94792,39724.3958,19284.79515,37894.28401,55986.12977,49711.75578,101555.7876,57329.99569,35716.72596,43150.6057,44998.36405,38420.37719,60835.10761,123417.5339,37866.59104,31642.08361,28775.37802,34779.28047,50843.28108,33887.47301,41969.38937,67576.49348,73173.48682,32695.71127,16019.75313,37079.48403,49431.93213,64620.48019,24862.31737,25707.97171,33620.58477,52364.23428,14672.22703,37012.40724,11514.44371,43808.6797,32939.21377,25328.68746,28349.06461,84635.14154,55553.66185,11381.78801,27256.38485,24623.37816,35230.60153,28586.87104,52837.12785
GREATER INWOOD,56585.37311,63677.06216,57925.22085,83402.28635,37563.93864,0,104561.9039,88433.35414,80209.81231,36901.85249,57167.29139,67540.62627,72798.51317,86675.94735,27777.59814,33121.93025,53096.7197,100350.6822,44263.01974,22149.23873,25604.33507,74609.83873,20897.94317,88080.11867,69239.23597,17620.53091,30313.05242,15482.10524,56029.40704,22294.44218,42351.43726,67780.37448,10044.27497,27818.71055,22994.17798,56615.50162,32147.03406,28688.21684,59420.82638,113162.1406,118140.5421,10472.62201,27726.90261,58996.78748,73073.95545,96387.90041,90564.96422,128433.7901,95957.44283,75835.88385,85463.24951,82526.32022,73628.25514,88036.13494,150839.9694,79050.99691,73244.5194,69297.97782,74430.96765,86235.64173,72259.47026,76923.05742,95030.0347,98685.3556,67140.67176,57574.20988,68307.83869,75716.62791,88045.60016,61068.56372,57012.09175,65680.73018,78617.38385,54068.32137,66177.81871,49319.70464,68541.47239,60296.94102,66609.03596,69226.93473,114606.4736,77486.81836,47014.5541,50801.21539,52881.55505,48918.92262,33918.59989,54472.51922
GREATER HOBBY AREA,59932.2084,46328.56053,51437.26459,41095.68206,73054.29175,104561.9039,0,13833.70294,128430.2688,62008.63689,53327.13115,45614.91461,50674.96468,51996.82957,75219.76183,66285.53984,65301.95072,14403.35412,62133.40286,83336.10617,106136.9187,65137.69379,97916.783,74008.95945,67707.92561,98274.91518,79165.77156,84274.33504,69422.97047,115246.4773,76763.84502,72481.38222,93225.06385,84059.23904,104257.1424,85287.59978,141209.8609,114823.3878,124007.9454,151397.8922,141230.6093,104664.8896,117407.7872,77105.26478,88036.49197,63510.5518,72840.97058,20492.86611,21149.10882,74258.80822,48607.86923,26253.16419,94159.34157,30521.45257,42195.45168,64015.17638,55591.81194,75320.23587,45599.68982,20632.5572,41918.42419,32812.48897,24869.69202,18566.54242,47889.47279,71760.58588,39442.01801,30248.72435,35305.78321,53693.97086,93897.5049,50674.18723,35605.43684,60992.75352,40657.92566,76928.85937,42958.51986,53304.37829,54130.24026,62604.59263,17674.89295,39777.97442,63955.96021,96718.31302,56179.09384,106897.4187,102095.3224,125457.8201
GOLFCREST / BELLFORT / REVEILLE,43908.68221,29553.2963,35141.56993,25130.64934,61317.84437,88433.35414,13833.70294,0,120633.1867,47298.99009,36547.85493,30865.38348,34410.51545,41544.56866,59408.27206,49838.19624,48365.16429,17375.35305,45518.7305,68676.45685,92424.94122,48352.00838,84007.44164,58413.42821,50730.86978,82909.24428,62553.98593,68353.70868,52414.60917,101037.7192,60946.77904,59055.32367,76471.758,67309.01661,87699.47032,68242.68871,125158.723,97959.81245,108988.3631,138901.2714,130388.7834,89577.93047,103385.6271,69111.92559,81779.32531,63560.71445,69422.74903,31056.65992,21374.5702,70244.10057,48223.88275,20300.01568,88461.88853,14092.4215,53165.76702,58571.38568,47347.17449,67986.59878,36486.23214,12748.96867,32155.77249,17158.26028,11501.01557,13322.51663,35786.51908,60988.52276,23204.44421,13488.60797,19143.41171,40494.072,84435.90111,36577.54704,18920.37248,47309.55119,24400.28675,66780.88295,26403.7163,37681.54114,43401.20791,53787.02172,20966.34044,23086.51648,49563.79175,87162.40318,41266.92565,96523.22365,89665.23176,114192.0038
ELDRIDGE / WEST OAKS,100768.6783,112367.4255,104317.3837,133972.0499,62431.92136,80209.81231,128430.2688,120633.1867,0,79093.25454,112546.8918,121630.3957,132697.5466,139544.8663,81275.2964,87557.67971,114335.1571,119053.8555,106805.3697,68298.61905,53216.64936,136254.0282,60546.03015,152512.6364,133582.6293,69529.10776,97865.07232,78471.89545,120177.2788,60586.7078,115059.8709,136340.0503,87314.55032,101511.3565,105739.2598,127229.3893,90149.32147,110133.0724,133456.0683,178162.387,181950.7745,64292.50124,54723.79924,46981.60933,49382.83239,75926.86344,72127.82474,144243.7587,108086.8969,54409.57687,77024.90368,103945.1721,29178.0643,126438.2539,174806.0353,70237.15271,80170.24588,56617.8543,87896.97208,111655.3559,92355.75518,104064.4208,132498.4631,137666.5341,93336.33226,65130.24075,101121.2895,115828.5014,130982.4513,90086.94313,35097.13178,99020.55283,118821.5492,76980.61229,103377.206,51657.98918,111263.4301,100103.8502,81761.9467,67461.81085,146538.9752,123184.0972,77038.09617,30863.13477,92555.31583,22380.05379,32007.32545,23033.52298
WASHINGTON AVENUE COALITION / MEMORIAL PARK,18976.8845,30189.24733,22592.33495,52255.00261,20006.49154,36901.85249,62008.63689,47298.99009,79093.25454,0,29731.71837,39724.36555,49590.85945,56321.70102,9352.865535,10088.91546,31140.19177,59941.59396,23600.6226,19755.48484,44088.70842,52974.93058,35752.60691,69196.32522,50301.37183,31759.14731,20465.52974,17649.1827,37417.8652,51286.19182,32599.72104,53746.06487,31160.23908,32040.47702,41329.15506,46737.90546,73758.6669,58790.96328,80744.46593,122730.9702,120085.2353,38359.32263,53929.93734,35913.88994,55412.68884,65206.74861,58552.33578,85287.3837,52336.95695,48636.71872,51893.33639,41086.48589,55733.83892,49545.78307,107679.0662,44263.99064,35687.3207,42010.68822,32452.09042,43141.56415,28895.36819,33793.31256,56516.97711,62042.02979,24238.02367,26312.71447,26553.21441,37141.32206,52270.43983,17959.48138,48265.33335,23656.20539,40717.70241,14229.73686,25931.62746,29224.95342,31591.13211,20642.60759,26936.99822,34847.54238,74781.84901,42937.69451,8507.113586,47319.17263,12074.53275,50493.04152,41369.69044,65968.60757
