,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,17520.34933,6717.15811,36849.22532,30876.30316,53165.88907,58214.10088,42433.02476,96972.91082,16982.24775,17437.66246,28016.05276,33314.39493,53241.38924,24302.23121,16543.04112,24903.70747,55497.87764,16893.81648,35840.03292,56945.89257,46952.25332,46449.28942,55572.44,37722.69705,42313.53763,26257.16148,34210.15126,34611.62668,65047.10786,36805.64129,50682.44957,43115.55361,36981.4102,49156.27757,50082.12438,88516.77679,67576.11722,84400.51692,125463.9796,118008.4331,53853.43137,63138.0333,51233.51993,60082.71186,67215.45096,59977.17459,81867.98447,47152.85204,59414.52672,51957.60544,36398.14796,71377.55463,33933.21713,103973.608,48462.13628,38584.8362,51070.98176,31720.69157,36373.72885,24630.28436,24461.1734,40080.81017,49268.48863,17185.18783,35360.79375,17433.95617,27234.94563,39098.3736,15489.65931,61520.60226,9693.016138,26398.56502,19200.4756,13273.09489,44930.70636,16722.32157,5078.065003,27485.5268,41024.77343,64118.99168,28382.84624,19893.0347,63602.56456,6329.419416,69615.45558,61199.51519,85052.17641
SECOND WARD,17520.34933,0,8445.641847,17589.48954,43028.74576,60640.98112,44255.35794,28074.21781,108591.8772,28168.45594,8125.334938,10155.19475,17467.81184,32019.34818,33681.35042,22030.27762,16610.2577,48257.48878,15507.99558,45875.51668,68287.72953,29105.54981,59906.35798,40191.8296,25787.5426,55280.85069,29905.63047,42266.35447,27834.39561,75374.31958,33777.20402,38631.78793,48240.74922,38421.09394,54905.78949,44012.66013,94923.96161,69364.66482,81759.72503,117610.4746,107001.0798,62913.51789,78047.31861,62804.08021,72571.97779,73649.69735,68484.7889,64009.4692,44561.04337,69412.11258,56348.46043,34556.28815,82850.62543,18840.03359,86128.01061,57171.50481,46181.62763,61929.28869,37515.6637,28302.03163,28596.8024,21090.7613,25548.14072,30229.48719,22630.7484,46775.56665,15793.04696,13439.97994,18687.31088,24164.60172,73256.52099,18509.62404,8946.296611,30819.87312,9464.960788,56663.60239,4372.353562,13722.01744,35889.54383,50832.82824,46256.35929,8731.014521,31515.81193,75180.15247,19574.60457,81076.71656,72101.39369,96106.70884
DOWNTOWN,6717.15811,8445.641847,0,27560.05716,34455.64891,54789.77641,49650.43525,33659.58075,100557.9066,20623.49497,8191.180783,18424.80721,25401.20547,43487.83765,27431.23377,16352.57097,16273.29269,49095.6409,12475.96134,39296.61257,60530.73949,37066.91067,49957.50533,47141.6806,29035.16284,45527.06289,24975.91695,36323.94001,26874.27255,68325.45166,31569.73329,41747.20552,42983.58521,34608.78768,48153.87343,42896.06514,89391.87653,65622.6897,79612.25428,118203.8501,109848.9205,56807.03073,66875.57862,54857.45495,63648.58278,69305.25487,62642.12162,72774.02972,42412.33278,62658.73361,52314.3542,31845.59563,74964.72854,26389.05236,94847.77055,51300.21804,41014.29913,54520.12311,33253.94683,29006.62473,24554.3729,20835.97089,33332.66284,39989.4177,17992.37224,38929.52742,13620.01969,18282.11395,29679.72823,17963.37241,65147.8814,11783.05519,17149.02891,22813.79797,6661.139943,48547.1805,7436.208484,5582.762443,30092.25803,44168.40566,54989.9604,19045.11975,23445.14454,67140.00978,9607.168188,73226.00227,64838.9944,88708.43866
CLINTON PARK TRI-COMMUNITY,36849.22532,17589.48954,27560.05716,0,64261.05515,80908.83038,38332.57502,23913.09466,130289.4066,50317.35654,20410.47037,10445.43191,6290.636041,15697.31601,55540.14469,43041.23328,24044.26116,47754.07164,32303.74127,67871.0025,89458.5078,18151.96939,78783.93181,28163.27012,22565.02064,73372.75941,48033.94152,63330.90075,26753.16062,96052.69946,38881.48287,28308.19874,66052.89636,51373.05941,68244.53239,39331.01096,112334.2695,79045.94939,80088.70434,106777.1752,94286.94974,84298.72634,96472.97362,83149.57644,91598.15653,87284.67511,85494.92054,50170.00265,48854.93318,87975.68043,68987.44721,42601.76477,103063.8383,15316.33351,71384.93744,74717.65125,63056.62198,81431.70514,53419.58469,31557.29771,44134.05368,32911.92738,16100.75258,17518.57762,40920.90509,67037.42674,31791.53434,21735.54269,9091.325523,43529.90975,94551.40833,37880.68443,13585.83453,51596.07704,26516.28568,77936.42823,18975.61362,33403.94044,54105.2961,69694.16664,36832.94507,8241.144585,53187.13593,96960.06306,39214.83691,103098.2963,94295.9311,118340.576
GREATER UPTOWN,30876.30316,43028.74576,34455.64891,64261.05515,0,35936.97962,71498.19907,59146.08712,58685.04362,16006.94066,42322.23293,52890.54743,62346.91151,78084.64376,19269.23558,24587.06126,45592.97168,63528.02108,36788.9823,13180.81066,26534.59598,69771.71097,18763.58702,82491.36951,63577.34385,26193.32782,34460.76112,24293.26257,52155.59827,36394.66037,47211.67067,69354.26512,35058.2499,41477.98722,51605.9552,62833.52989,70647.69843,61911.31096,86392.22625,135044.5015,131268.3462,29852.2133,38028.5732,17915.66965,36088.33632,53750.36554,47446.1366,99087.32097,56105.26262,33521.91106,41167.50365,43844.61182,36989.28915,59535.88326,120771.72,35636.79634,30058.17189,26578.91802,33550.93071,49717.73368,32704.82447,40842.83863,66296.4011,71903.25955,31521.74729,13925.11437,35820.2807,47857.94163,63700.36924,23699.35311,24589.08559,32380.53278,51044.50942,13536.00888,35739.12941,9627.088509,42477.16697,31599.61546,23949.77545,26096.60613,83440.95191,54208.58894,9653.181562,25177.97188,23250.21865,31985.00893,27135.59682,50035.66726
GREATER INWOOD,53165.88907,60640.98112,54789.77641,80908.83038,35936.97962,0,102638.3811,86952.69808,75449.85112,34799.12526,54648.97736,65236.88019,70718.64901,84531.3422,24946.88472,31635.17421,50896.9835,98193.78681,41950.85337,20757.20402,24167.35446,72490.4992,19786.82226,85952.11881,67080.21015,16359.48913,28233.37997,13766.98012,53842.48469,21101.65552,40167.09193,65553.94779,8874.506623,26539.14377,22165.60928,54440.34192,30688.44765,27556.59416,57365.798,110394.0863,111924.9385,9196.009623,26352.19896,57510.85637,71835.23656,94910.1111,89044.64582,125992.7951,92614.48404,74363.64839,83543.91932,79148.15694,71360.35073,84765.20219,148114.8682,77514.47552,71041.21692,67800.88488,71406.06516,82720.19735,69051.05937,73446.68618,91747.89596,95767.17008,63675.8355,55629.88875,64806.63352,72358.52289,85070.80882,57885.48792,55795.33999,62193.03567,75593.80075,51609.04814,62745.63025,47931.62836,65281.74048,56776.38358,64343.5303,67687.83172,111278.271,74801.79096,44671.58842,49499.60102,49402.35834,46491.68999,31551.97139,50866.23638
GREATER HOBBY AREA,58214.10088,44255.35794,49650.43525,38332.57502,71498.19907,102638.3811,0,11075.51274,125537.7816,60317.54906,51247.45005,43736.77914,47856.83998,49704.55839,73539.6015,64466.95503,62775.64901,11619.17654,60258.1478,81784.38956,104607.9636,62332.20597,96396.57242,71397.84608,64883.02416,96663.80297,77272.00473,81941.76156,66574.97057,113734.3883,75275.45988,70869.83562,91387.34184,82370.11144,102421.1637,82430.91722,139518.355,113215.6617,121359.7033,148874.7804,134974.0784,103093.5864,115903.1753,75463.15055,86406.5597,62094.91512,70956.6957,18057.58473,19538.76471,72572.59696,45149.63147,24586.27083,92538.0847,28192.93212,39565.87536,62390.09397,53944.67716,73691.94852,43969.68816,19128.43871,40323.53539,31057.34362,22248.68473,16949.44105,46401.09058,70185.86302,37619.53187,28106.79755,32574.02277,52159.95243,92287.49956,49105.59719,33570.35429,59470.8712,38842.73955,75380.35807,41064.30108,51618.67101,52565.30776,60969.38317,16210.4838,37110.96079,62394.4465,95135.31328,54563.21027,103810.2369,100406.7336,123018.3161
GOLFCREST / BELLFORT / REVEILLE,42433.02476,28074.21781,33659.58075,23913.09466,59146.08712,86952.69808,11075.51274,0,117430.8543,45475.97214,35074.08347,29109.60559,33012.99468,39779.8805,57929.6875,48338.21893,46947.62302,16165.38103,44020.37726,66962.72897,90507.4145,47087.99459,82142.12887,57034.46048,49379.10775,81368.02423,61056.78725,65869.59426,51017.6417,99239.93748,59406.83638,57421.87027,74995.88466,65550.20027,86208.83891,66823.60784,123679.7512,96542.45252,106328.8319,136260.6963,123747.3443,87982.80872,101548.2123,67172.31096,79649.63421,62134.52985,67633.84153,28669.21753,19469.72356,68079.8089,44639.39573,18579.08824,86306.8058,12798.92244,50539.24928,56539.70684,45263.64684,65787.60304,34380.15873,10976.6681,29866.7052,15747.4116,10201.11942,11899.15056,33604.85757,58805.15692,21739.52944,12042.75098,17905.40549,38552.90326,82198.55137,34684.6008,17465.42702,45340.58537,22923.96284,65014.62652,24902.41731,36201.44719,41198.15736,51612.91192,19515.17461,21767.74197,47761.46116,85402.54654,39576.55828,93339.93651,88113.26909,111291.2041
ELDRIDGE / WEST OAKS,96972.91082,108591.8772,100557.9066,130289.4066,58685.04362,75449.85112,125537.7816,117430.8543,0,75133.87983,108616.1131,117849.6656,128695.2041,135504.9282,76955.62993,83164.68851,110116.6888,116394.1292,102633.5106,63896.14231,48533.97012,132091.5413,56205.11527,148279.9869,129448.4115,64908.26811,93505.24919,73747.15202,115935.5029,55840.06814,110786.295,132064.3005,82628.20831,96959.54525,100982.2613,122840.0663,85607.54013,105339.6499,128715.1986,175439.7934,174915.0483,59529.86289,49939.65737,43998.83884,46711.34619,73644.18822,69843.01578,141390.933,105413.9524,52166.04571,74545.53989,100951.1403,26820.83234,123105.0529,172041.3396,67614.19389,77321.66084,54040.16455,85179.28434,108599.6076,89282.95048,100986.0797,129202.6046,134427.8297,90264.11082,61976.75177,97936.69598,112316.7211,127588.062,86619.96168,31904.45252,95612.12513,115321.7386,73595.74266,99899.31965,48044.47492,107732.9854,96603.14725,78634.83034,64703.37052,143483.1602,119616.3649,73531.26986,27136.67843,88907.49626,17776.12886,27316.23078,20807.03812
WASHINGTON AVENUE COALITION / MEMORIAL PARK,16982.24775,28168.45594,20623.49497,50317.35654,16006.94066,34799.12526,60317.54906,45475.97214,75133.87983,0,27731.74885,37733.31847,47591.15918,54346.38407,8178.911534,8379.469456,29226.91047,58569.96531,21651.32028,15908.58967,40293.00126,51086.50067,31917.26588,67317.55727,48381.31594,28788.1234,19338.78152,16876.89071,35750.58537,47740.29008,30975.47237,52086.07932,29357.14075,30271.71338,40568.66361,45116.25848,71956.69435,57312.49937,78346.25683,119846.7286,112757.8075,35418.67926,50305.57046,33438.46524,52631.83798,64158.66231,57305.27149,82904.10293,50880.44724,46744.11918,49963.52777,39947.79408,53208.9349,47585.95076,105015.2262,43279.0274,34805.14502,39763.64956,31857.16896,41535.16787,27701.69736,32250.01885,54563.02476,60090.9112,22648.1957,23827.74676,24781.94367,35184.76364,50299.80323,16787.84591,44514.92534,21919.33356,38761.94229,13280.19897,24059.35963,25926.23042,29603.434,18729.76541,26115.37712,33926.96961,72919.26572,40969.11564,7195.244107,43429.96328,10162.56126,47203.80768,38236.74513,62245.42088
