,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,13671.6392,4635.171944,35540.41551,27357.9762,48181.82161,53458.23449,37647.22612,86055.09509,9926.983271,14567.91525,24940.23043,31718.95883,48059.65717,19691.99745,12302.18975,21291.53332,51367.60715,12266.68518,31536.57669,53327.13,42351.68462,44264.69784,53702.78082,35878.56747,40603.27805,23045.45678,29230.6353,31199.99861,60584.60786,31549.24778,46210.38129,38810.91406,31753.52076,47294.87883,45409.7126,84382.30522,63970.84892,76267.27619,117281.1525,101295.718,50088.58802,60993.2069,45752.89185,58033.80155,63862.30445,58613.34359,72907.15694,44031.09841,54931.25145,45447.87519,32517.36448,66571.21623,31905.0866,96804.00438,45672.03559,35211.43872,47179.08743,28966.94423,32280.72011,22207.10931,22378.4459,38409.22722,46458.52984,14739.59969,33042.8383,15380.71539,24190.19235,36199.33131,12397.41586,56512.77078,8587.104665,23512.70395,15458.26412,10246.69461,39392.70622,13958.89642,3409.70902,24941.61576,38181.78947,61369.82429,25200.03455,14328.8484,58168.87637,4191.045536,59156.70263,55167.83901,77027.43988
SECOND WARD,13671.6392,0,4863.241512,13838.95146,39303.84468,54873.65541,39357.32339,23304.47991,97523.46454,20878.34451,4749.040024,6520.604917,13949.04212,26950.39125,29113.01628,17915.70642,14752.85658,44050.79988,10630.07737,41755.74223,64313.35003,24843.61595,55944.49645,37859.50631,22947.88342,51311.94395,26717.77249,36115.43258,23714.37773,71380.19851,28279.86857,33945.1495,44240.60421,32864.83905,51840.94205,39559.33262,90804.75942,65100.59965,73385.79666,110618.3236,89403.79931,58752.82041,74074.9005,57181.77184,69498.17675,69996.82131,66622.68426,56147.77378,40415.77447,64539.39439,49528.10256,30886.74738,77966.8698,15608.89444,78766.96846,54264.00806,43100.1941,57783.63733,34148.23718,24649.17541,26319.0352,18265.43599,22143.89942,27137.8796,20206.50613,44412.43188,13442.63254,10947.76722,15998.36433,21525.05556,68267.41034,15574.68259,5975.738033,26982.88747,7648.513414,51118.09124,2637.428228,10339.95339,33379.13407,47783.99263,43642.5831,4868.752218,25955.005,69755.21029,15959.2159,70609.85389,66206.47314,87946.58805
DOWNTOWN,4635.171944,4863.241512,0,26197.42699,30965.75811,49221.41373,44843.61182,28813.93635,89588.42794,13505.13758,5689.332514,15295.8875,23378.92826,38288.82565,22769.19031,12368.34289,13431.34414,44904.45371,7368.598032,35031.68329,56871.48734,32474.54027,47824.50762,45104.06784,26841.50018,43675.15539,21786.12569,30328.53659,23097.42803,63844.5687,26095.09826,37269.42957,38906.60352,29226.02267,45901.04073,38216.86347,85261.37583,61609.6429,71215.71747,110437.8043,92978.50189,52738.6751,64679.79804,49330.94765,61719.78107,65648.75071,61279.87077,63846.01811,38913.46029,58052.49911,45660.42645,28216.98783,70147.39832,24149.79314,87691.12312,48476.82929,37720.17793,50553.91665,30001.56245,25308.82334,22277.65259,18137.09496,31125.97372,37184.25228,15461.06837,36606.26509,10950.13714,15190.34792,26779.20924,15052.14859,60154.48601,9448.023103,14987.40016,19018.26112,4375.278965,43013.91838,5107.26633,3481.266226,27573.11937,41294.87082,52236.00519,15937.87507,17891.17655,61713.32398,7500.866382,62751.78732,58849.76352,80680.24349
CLINTON PARK TRI-COMMUNITY,35540.41551,13838.95146,26197.42699,0,61069.28794,74499.07031,33184.39431,20675.55661,119418.239,42992.88223,17311.32425,6554.469673,3096.812909,10704.11477,51090.58771,38547.89177,20042.76186,43218.32459,29185.67676,63802.80239,85658.90366,15181.18815,77044.16127,25468.52018,19217.4474,71326.06953,45024.4605,56615.64165,23396.99361,91522.22571,34739.87995,23560.7472,62252.59699,45651.05354,65113.96463,36110.06968,108425.6535,73614.67971,71993.59184,100354.5348,76327.40456,79949.52754,94353.55777,77376.21246,89765.15824,83377.9248,82802.73275,44637.65732,43798.14261,82730.46009,60210.66246,38397.28201,98017.2101,11896.08539,63879.35038,71648.80817,60320.43656,77069.22219,49960.36676,29095.22006,41719.90531,28409.1093,13159.3124,13135.85769,38964.82241,64606.22366,28671.88463,18054.74526,6314.777296,41031.911,89529.7563,36265.67263,11115.52527,47752.91116,24455.40336,72423.06937,17011.8257,32003.90107,51517.19786,66304.8433,33897.67122,5738.539417,47620.26903,91489.2143,37848.88453,92678.88889,88426.48096,110087.6066
GREATER UPTOWN,27357.9762,39303.84468,30965.75811,61069.28794,0,31241.18717,67079.16323,54812.98532,47721.95327,7969.90767,39044.82678,49743.60151,59074.96437,72884.08013,14308.03666,19995.24805,41470.66186,60025.2119,33588.86812,8476.012092,22929.32438,65260.89367,14998.34043,79273.69921,60358.14865,21610.11436,29525.67412,19375.55841,48689.70597,32450.0346,43364.18562,65067.73732,30193.98968,36732.41249,46616.36414,58579.18212,66058.92126,58558.10923,79841.65983,125046.361,115152.2996,25337.95661,34246.36893,13883.9602,30922.73549,48581.04343,42400.62555,89546.14388,52316.41266,29459.34345,36624.44067,40268.68797,32332.90032,55667.2283,114399.6932,30755.43078,25703.41793,21522.49939,29746.30281,46178.31911,29061.86506,37258.07601,62464.82952,68643.87074,28042.87438,9236.635566,32038.82571,44731.195,60643.68996,20076.46933,21352.04211,28662.5046,47502.74866,9846.642659,31884.82541,4779.021623,38703.67872,27744.11548,19841.89101,21127.62465,79799.20242,50580.81522,5638.942584,20310.90472,19565.93408,22190.88451,21358.10141,42406.23947
GREATER INWOOD,48181.82161,54873.65541,49221.41373,74499.07031,31241.18717,0,97947.37981,82182.22861,64232.89698,30638.96066,48671.04411,58808.60415,64269.73748,77396.78404,20962.36859,27568.22988,45005.05405,94172.55601,36393.65368,16879.39922,20192.46342,67345.70628,15804.03122,79888.40398,61106.95065,12525.77416,22007.26773,8664.719456,47562.3691,17773.75305,35230.5099,60976.05031,4885.393475,22009.8068,18871.13462,48704.59041,26398.41465,23919.21199,51778.6953,99230.48553,100768.7263,5507.945915,22946.99986,53650.26759,68113.46146,91131.5071,85176.16588,117300.1885,88524.90736,70735.43905,77776.88904,75029.48714,65646.8288,79345.17938,140784.2495,73668.32437,67119.82931,63947.17771,67548.21568,78294.24546,65077.30588,69088.83171,86265.97034,89783.6678,59380.61364,51741.86759,60211.17337,68719.26386,79194.87337,53919.43831,52038.81935,57691.11543,69806.29757,47689.21915,57691.9529,44177.41035,59864.73027,51947.7229,60417.07461,63826.92133,105930.3418,68625.13122,40729.62125,45577.69095,45015.98159,38952.66471,27239.89258,40596.91652
GREATER HOBBY AREA,53458.23449,39357.32339,44843.61182,33184.39431,67079.16323,97947.37981,0,6170.597808,116431.0459,55592.12544,46372.91428,38637.10468,42733.52625,46095.9489,68844.95795,59985.21125,57964.36384,6831.350911,55375.9505,77179.69047,100116.4413,57097.76309,91887.02081,65450.24958,60026.57206,92011.69316,72420.22578,77304.333,61706.41212,109182.7152,70094.09586,66045.38392,87110.91764,76791.09973,97555.76312,77478.0949,134774.166,108763.9786,113109.722,142530.4904,116838.6149,98515.3673,111387.0265,71058.93725,81904.95409,57216.70009,66477.33865,9427.091729,15067.06178,68052.92811,35069.30585,20302.41198,88033.47815,23331.51719,34201.968,57873.59983,49570.79465,69234.5638,39593.39508,14575.51752,35939.99639,26313.08706,17444.00776,11029.35782,41871.71961,65780.41247,32800.18867,23192.63103,27163.00965,47740.96907,87865.83677,44469.9743,28675.7724,54899.1755,34032.99126,70975.07855,36189.62851,46917.83872,48168.88352,56593.92955,10867.89534,32283.17622,57784.97036,90573.36104,49914.90415,94853.32706,94917.12535,115532.2668
GOLFCREST / BELLFORT / REVEILLE,37647.22612,23304.47991,28813.93635,20675.55661,54812.98532,82182.22861,6170.597808,0,107618.7491,39937.49507,30296.11469,23833.41889,28584.68431,35977.27431,53180.79623,43450.19796,42407.21132,11553.8496,39123.21205,62441.86513,86082.8116,43123.73829,77698.65827,53740.04721,45067.21067,76702.3485,56163.76627,60885.14675,46676.28756,94750.60709,54103.40192,52579.31081,70337.97371,60029.79039,81315.90495,62481.43632,118862.4678,92215.42417,98104.03115,129806.1533,105822.397,83354.38862,97086.71005,61613.25318,74722.05265,57419.48563,62580.59163,20439.1852,14476.75171,62668.74679,34524.08474,14404.27358,81359.52703,9063.206346,46170.29581,51618.54502,40470.66526,60991.45756,29733.9114,5912.095029,25224.39515,11427.11606,6781.401378,7263.570684,29289.89465,54448.59173,16952.96831,7386.645988,14436.70146,34139.73677,77608.49912,30370.6266,12778.2034,41022.68719,18112.88825,60083.31251,20015.5711,31533.10082,36770.55785,47292.76199,15293.53369,17741.52373,43326.81423,79988.12186,35047.22138,83593.87014,82245.77386,103588.6745
ELDRIDGE / WEST OAKS,86055.09509,97523.46454,89588.42794,119418.239,47721.95327,64232.89698,116431.0459,107618.7491,0,63947.04265,97441.69984,106900.139,117419.0091,124157.9122,65284.55075,71434.0815,98718.15455,107836.0337,91128.6793,52261.15435,37995.00481,120691.4331,44566.22558,136840.5142,118027.7639,53343.03103,81762.35509,62274.30193,104371.495,45753.54704,99165.51287,120413.3262,70926.06084,85221.63765,89374.08638,111063.0552,77985.66238,93955.74898,117374.902,164520.3642,160444.4049,48786.99651,40688.80507,34622.08134,38057.28771,66106.84977,62349.6467,132336.6293,96837.30211,44818.03889,66514.47242,91643.83484,19195.42759,112916.2735,163326.6863,59087.66599,68389.59617,45682.37226,76425.64283,99061.43133,79805.5586,91448.17865,119200.9993,124523.7097,80602.91285,52230.20365,88160.41779,101843.6758,117235.9898,76284.63644,22213.5828,85274.87048,104975.2614,63363.52364,89482.4862,37425.32648,97056.1608,86073.37311,68938.80778,55989.70107,134037.7142,108947.7304,63112.96971,16286.88484,78171.29938,10533.0905,20090.34229,14237.69533
WASHINGTON AVENUE COALITION / MEMORIAL PARK,9926.983271,20878.34451,13505.13758,42992.88223,7969.90767,30638.96066,55592.12544,39937.49507,63947.04265,0,20311.68013,30490.35447,40219.98635,47039.06177,5304.12338,5368.287251,22239.82934,54404.1138,14412.54877,9007.59475,32772.06913,43895.80503,24341.35548,60160.01939,41166.65225,23665.61027,16557.45647,14446.5049,29362.8535,40829.22671,25573.90569,45590.59561,25309.1968,25246.78698,38223.36671,39883.21187,67846.94408,54074.18229,70266.63207,111539.6782,96216.73193,29654.58883,43232.96098,28902.87612,47024.81327,60931.09745,53975.73209,74151.24306,47490.07404,43026.17158,44165.81103,36137.16264,48543.14163,41268.90536,97724.18281,40174.9566,31918.10894,35282.27271,30016.02144,37151.6282,25292.39497,27988.7759,48313.75735,53549.46929,18940.38604,19593.74992,19474.50905,28750.50328,43434.65317,14408.25033,37017.57886,16830.70657,32363.54007,10619.66629,18274.02461,20043.17081,22873.97306,12312.16032,23633.21474,30929.64405,67117.36183,33989.47013,4298.107234,36275.05803,5564.614993,36743.27337,32349.18998,54081.67956
