,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,10988.82359,2936.344295,34336.36134,25172.71534,45399.42065,49712.04156,34034.13826,77312.31933,4593.350601,12481.36674,22442.66519,30612.56673,42641.45512,16498.71281,9286.241505,18858.01854,47948.77065,9357.517238,28590.63284,51137.32577,38759.71087,42639.0516,52492.55024,34281.70727,38876.55578,21016.31874,25755.24801,28800.29616,57741.49853,26952.15398,42978.15271,35731.68068,27129.54226,45607.89391,41898.45207,81723.46039,60311.79872,71033.91771,111070.1073,93941.86085,47285.61147,59543.42598,41983.43447,56796.8381,62025.59111,57200.05725,67914.39729,41695.48131,52078.99659,39710.78739,29498.31699,62997.85909,30378.43622,92504.98613,43690.35004,33088.6407,43787.80807,27343.38077,29598.85895,20633.50879,20902.84204,37213.55589,44182.42638,12889.5933,30753.20676,13451.03569,21477.21044,33575.65109,10324.6811,53025.04557,7849.48226,21404.73253,12893.34692,8340.85414,36004.14098,11803.73365,1855.316399,22989.24377,35735.73836,59070.77278,23265.51045,10943.94984,54060.33338,2535.27202,52538.8978,50680.30772,70677.57138
SECOND WARD,10988.82359,0,2495.808302,11882.70126,36690.18,52355.255,35931.23291,19688.68982,88908.57503,13716.64829,2487.749936,3961.270247,11581.60378,22307.40785,26098.55744,14911.87892,13610.52127,38988.56071,7601.937971,38829.17566,61593.67081,21934.24595,53225.37296,36059.03966,21021.72403,48659.55268,24596.90724,32543.90742,21166.20939,68688.06725,23436.7543,30690.79666,41141.90498,27224.77227,49760.44404,36137.53431,88266.71048,61620.72995,67844.69754,105275.5543,80511.68999,55955.30353,71369.83375,53419.88647,67829.14793,68114.32372,65343.45399,51614.32958,37638.95556,61729.85562,43465.92893,28115.56137,74465.61552,13810.73966,74371.4605,52136.69799,40965.98341,54323.7314,32350.81555,22347.29671,24446.55826,16221.90969,20105.11805,25029.63522,18706.16248,42324.38465,12104.10475,8991.742673,13460.1841,19143.04441,64771.21308,13777.5706,4213.556108,24356.14445,6373.202841,47774.19233,1379.079364,8296.520463,31226.6375,45196.23871,41534.80103,2269.861906,22573.78799,65635.91275,13550.15479,63925.23927,61714.47645,81421.1855
DOWNTOWN,2936.344295,2495.808302,0,25076.52155,28768.54823,46639.86803,41095.79462,25155.33511,80891.69569,6758.953119,3495.106413,12794.58133,22098.82391,32758.66457,19655.79758,9288.299098,11566.46125,40706.80552,3812.574757,32081.53181,54699.26927,28894.12955,46244.34967,43723.01249,25319.37473,41983.61995,19348.60939,26817.88536,20782.63332,61069.52045,21254.79102,34045.04829,35821.07933,23953.33687,44205.33079,34681.47821,82691.75301,58087.07286,65729.62186,104367.9651,85121.81217,49935.77455,63017.96047,45560.40565,60297.37991,63866.03112,59897.31939,58980.9213,36338.51468,55230.58125,39654.88204,25088.94118,66597.78467,21939.00481,83370.99353,46451.89385,35585.84768,47156.43512,28236.40174,23076.92932,20506.95436,16030.77126,28952.52675,34903.18032,13533.49133,34375.36734,9389.71357,12437.26809,24151.99028,12773.40713,56668.20808,7988.740856,12962.21533,16444.13195,2660.981339,39647.53045,2979.911905,2051.725858,25508.00116,38771.62858,49946.0339,14038.10032,14506.74487,57594.93502,5864.14459,56094.88346,54343.58645,74282.2841
CLINTON PARK TRI-COMMUNITY,34336.36134,11882.70126,25076.52155,0,59946.93311,72060.90817,30035.01666,18078.17392,110586.785,35869.61667,15524.48012,2867.695807,1503.868072,6519.2592,48159.44208,35710.19657,17218.84725,38370.29401,27238.50201,60894.54058,83999.84759,12123.9423,75824.50303,21747.9054,17297.38613,69634.59806,42680.94102,52684.42497,20071.08182,89917.65097,31735.40382,20140.91125,59231.34011,40872.46158,63296.74557,33625.25231,106102.167,70301.27852,65859.89529,96164.10246,66646.56519,77072.42703,92995.20219,73621.52736,88123.00566,80231.1081,81792.55312,40779.81552,40923.88007,79874.70638,54683.67688,36026.31652,94579.21755,10145.70582,59102.48238,69353.78491,58269.28303,73725.98565,48059.65016,27023.48098,39621.93083,25090.37954,10512.24536,9706.638398,37342.59811,62705.50947,25802.2305,16664.54095,3469.810407,38762.68528,86532.54446,34733.71443,9465.049283,45698.21753,22818.95057,68877.89786,15469.58666,30485.82389,49437.64313,63665.27995,30877.26299,4186.609886,45120.95811,87392.04253,36442.80364,85981.565,83910.28805,103549.6144
GREATER UPTOWN,25172.71534,36690.18,28768.54823,59946.93311,0,28233.77899,63526.24859,51538.2736,39158.35817,3889.966584,36735.92177,47293.95644,56772.33753,67213.84479,10808.16547,16843.46007,38825.85028,56562.63352,31077.03698,4393.103237,20434.67998,61751.59447,12555.19336,76808.2616,57869.86973,18203.18015,26278.81631,15280.26616,45796.46502,29950.47973,40546.11553,61984.82213,25876.17211,33465.90794,42507.18758,55446.17149,62591.77964,55595.15105,74941.15781,117658.581,109538.3895,21926.85593,31775.0795,10894.97541,28126.2791,45393.20652,39192.07348,82863.91234,48916.47799,26508.85044,33531.67057,36744.69684,28163.10168,53330.18812,110349.5943,27509.51801,22531.63625,18382.73784,26208.79153,42983.04185,25529.04625,33963.71552,59998.2981,66416.30743,24765.353,6079.28031,29463.78819,42835.68906,58079.39378,17124.84466,17971.38464,25987.39885,45502.29337,6347.084741,29751.32465,2477.892057,36545.58969,25587.59197,16428.33711,17919.57579,77328.68206,48682.14223,3166.709549,17059.83981,17397.79335,15894.84307,17016.64359,36841.6469
GREATER INWOOD,45399.42065,52355.255,46639.86803,72060.90817,28233.77899,0,94217.12731,78564.9469,58879.86366,27671.5054,46279.22055,56472.01275,61753.48313,72428.72839,17772.24438,23550.68277,42267.55917,91300.14617,34113.54935,13937.40539,17945.7855,64528.36628,13322.50266,77277.84853,58474.10828,9661.670293,19543.34751,4859.996725,44987.90279,15245.79335,32388.5478,57772.25807,2230.968388,17302.93858,15362.50222,46022.67971,21178.93826,21541.75954,46663.73094,89801.10398,93562.28079,2956.558851,20488.53931,50731.21141,65339.89383,88487.95637,82081.73988,112351.4551,85361.6925,67938.51846,73698.95868,71898.87925,61728.09195,76708.7954,136397.2502,70668.79789,64028.99377,60854.21172,64313.41896,75271.85978,61880.98055,66035.1946,83666.43403,87299.34209,56288.28244,48659.84813,57266.74954,66004.12918,76685.14285,50722.77849,49293.00872,54681.39719,67291.49635,44524.70189,54959.59179,41137.44371,57248.52943,49116.98533,57304.15312,60725.70723,103373.2324,66183.43299,37595.49251,43144.61425,41989.02335,35818.11074,25119.40615,35559.6416
GREATER HOBBY AREA,49712.04156,35931.23291,41095.79462,30035.01666,63526.24859,94217.12731,0,3144.911656,107362.6828,51849.7399,42936.83144,35094.1316,39617.55659,44003.62893,65091.95602,56982.54411,54628.37622,3575.649082,51808.46848,73483.88334,96482.63185,54006.905,88232.99908,62454.64377,56782.92426,88280.1549,68828.24107,74064.68841,58870.28686,105545.065,65523.70264,62605.32826,84084.35781,71092.86746,93973.3925,74291.03538,131083.3142,105301.2518,107079.3643,138672.9488,106102.464,94810.94161,107745.0854,67728.66159,78796.38885,52924.88472,63255.68501,4634.192279,11934.50894,64944.68188,29718.05436,16795.46532,84946.10742,20057.21337,31197.00252,54767.20953,46180.42096,66026.47223,36141.92223,10865.74664,32382.13522,22517.60483,14183.37722,8241.141987,38225.89959,62407.07454,29065.59083,19796.92146,24051.73669,44197.20679,84506.90709,40767.08192,25208.83202,51216.3423,30300.54406,67445.75573,32544.40892,43145.87518,44634.90602,53175.37495,5740.552727,29035.75763,54079.73369,87140.45133,46169.46695,88725.25579,90688.78663,110422.9821
GOLFCREST / BELLFORT / REVEILLE,34034.13826,19688.68982,25155.33511,18078.17392,51538.2736,78564.9469,3144.911656,0,98571.5186,35629.63636,26672.85744,20620.98887,25687.48857,33791.36818,49591.36773,40152.77795,39003.68363,6494.703619,35378.48684,58986.63013,82701.00499,40311.88612,74294.87511,51322.40126,41908.53395,73204.2272,52424.74982,57531.13562,43757.27755,91325.588,49414.42012,49397.5724,67327.20728,54360.59193,77592.7361,59202.22801,115199.6948,88748.41682,92146.29853,125342.2665,95744.41663,79868.18646,93675.18185,58722.80146,71867.30576,53337.31357,59674.06312,16116.79794,11119.47024,59723.76439,29111.42161,11473.53651,78473.74527,6272.157737,42222.46124,48773.52405,37837.88426,58113.70313,27065.63114,3070.286175,22262.04285,7813.049628,4185.265849,3753.082822,26016.07734,51215.36162,13343.95347,3904.999644,11895.53823,30775.69274,74620.91049,26908.57442,9354.244712,37611.43075,14483.42017,56029.61328,16301.43643,28009.22599,33665.93907,44544.33492,11172.84752,14908.04376,39876.70317,76320.45126,31581.42075,77108.54749,77845.36411,97988.8484
ELDRIDGE / WEST OAKS,77312.31933,88908.57503,80891.69569,110586.785,39158.35817,58879.86366,107362.6828,98571.5186,0,55477.1504,88926.50758,98236.79254,108995.7613,115813.3448,57944.00018,64201.7033,90579.38157,99029.08299,83042.92706,45334.99278,32932.28517,112448.7738,37452.22163,128658.3977,109780.0626,47319.49307,74513.79011,56380.62573,96464.80262,40992.38064,91365.03161,112681.3217,64856.81741,78765.32677,83595.70768,103829.5882,72980.17517,88511.67793,111824.8324,155315.3452,154104.2719,43660.97284,35886.29324,25687.57356,29651.43864,59290.33751,55618.91774,123332.0527,88104.29944,38342.2008,58843.83025,82592.23429,12615.73031,103960.0986,154376.5772,50614.67384,59379.96884,37510.18993,67562.56145,89986.40308,70703.03599,82383.98557,110223.4601,115551.3145,71545.27747,43141.56598,79099.44038,92890.61975,108375.8774,67383.35824,13326.51322,76363.80657,96097.70814,54396.0314,80553.28648,28493.3098,88141.21203,77166.4951,59886.94717,47174.20026,125003.2145,100052.5892,54256.40702,8094.104058,69268.99315,5598.652716,15557.18481,9183.233139
WASHINGTON AVENUE COALITION / MEMORIAL PARK,4593.350601,13716.64829,6758.953119,35869.61667,3889.966584,27671.5054,51849.7399,35629.63636,55477.1504,0,13249.908,23391.72365,33285.09911,40247.17671,2920.486795,2705.487414,16330.78082,50641.66326,7856.21576,5497.502372,28862.99494,37416.9765,20445.03104,53630.75747,34668.03413,20521.15372,15032.98418,12305.33938,24216.74398,37143.90981,21014.86069,40071.40101,23162.80131,21275.42936,36431.16572,36414.15722,64905.57678,50921.93529,65059.58982,105235.2638,89163.64042,26375.64549,39519.42513,25542.74007,43781.40654,58055.62805,51146.91723,69388.55673,45220.45374,40047.82699,39624.1045,33041.16841,44535.83814,35425.54547,93373.81363,37525.60592,29392.57567,32136.33461,28448.40805,34299.0319,23708.41557,25727.4293,42497.48191,47264.54759,16939.80515,16478.42922,16767.67549,22932.66177,36898.43156,12792.97148,33461.62893,14389.55309,26510.56832,8519.635137,13293.12828,16696.95334,16514.13596,7823.485817,21622.58371,28428.57949,61741.31608,27347.77725,2148.232987,32188.75043,3468.905649,30124.27814,27842.33452,47512.53747
