,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,16174.94577,6009.553063,36387.23979,29535.38487,51200.98074,56644.1612,40907.66919,93522.09257,14654.17026,16492.32228,27007.52359,32791.78163,51490.81159,22695.99313,15249.36302,23719.59171,54128.95538,15336.10101,34356.55659,55723.14412,45463.66555,45673.72529,54927.41237,37136.8618,41926.25625,25101.06614,32228.83177,33409.73779,63827.20743,35182.37481,49232.63003,41632.63104,35206.46621,48591.58269,48590.49514,87263.92088,66579.73094,81794.22009,122856.0595,110398.8123,52586.62562,62423.79167,49168.81949,59335.18608,65894.96857,59547.86176,78923.69089,46120.01933,57666.71362,49963.48919,35170.99931,69758.09833,33281.23888,101473.5343,47456.65717,37453.25421,50113.33193,30664.98901,34943.55745,23787.10212,23782.55588,39508.14128,48388.20857,16396.53616,34564.45583,16803.93961,26302.64953,38195.82868,14322.33561,59874.96151,9331.262549,25467.51318,18021.54719,12214.32914,43035.27073,15842.22186,4588.883689,26588.88827,39967.52404,63258.56157,27428.28267,17707.9289,61839.35277,5640.866198,66416.43587,59504.00285,82274.14667
SECOND WARD,16174.94577,0,7208.702163,16250.59019,41742.36606,58048.78063,42607.33717,26553.45097,105134.8379,25770.7088,6987.581072,8882.958117,16307.229,30075.08828,32123.6065,20486.59557,15959.4464,46919.28847,13849.0751,44282.53665,66899.9481,27688.54297,58523.45087,39352.41058,24830.11571,53901.29176,28868.59884,40052.80399,26418.57302,73979.34242,32096.07941,36935.41665,46887.0395,36677.92446,53929.57921,42595.80767,93635.13719,68179.91055,79136.91547,115024.4557,100118.8051,61515.93324,76666.90582,60705.92775,71598.40152,72214.10644,67657.73708,61135.09799,42942.07833,67650.23887,54211.97372,33274.43867,81159.18507,17779.74831,83541.87733,56219.68157,45140.86143,60976.46144,36254.94414,27134.47528,27879.91579,20080.58098,24462.78849,29083.33482,21783.39179,45915.10117,14946.74319,12654.21862,17796.54547,23344.16391,71628.7633,17530.81151,7823.341348,29630.99835,8795.278849,54797.02345,3810.739217,12585.83013,35134.16867,49823.6704,45452.78884,7464.980506,29372.64561,73401.37666,18358.63713,77850.65702,70541.79404,93165.1568
DOWNTOWN,6009.553063,7208.702163,0,27069.48207,33133.21899,52354.54322,48060.55294,32126.87938,97076.39279,18266.73501,7410.172469,17405.05907,24646.55717,41743.76787,25841.79116,14929.58095,15353.06346,47716.79559,10768.8724,37755.86684,59308.70087,35578.59744,49184.01483,46436.68692,28310.78356,45125.3203,23828.32816,34161.00123,25549.48093,67106.64613,29885.95859,40276.71438,41619.61815,32836.55452,47197.07449,41395.22891,88092.3181,64503.00051,76942.43877,115566.1786,102487.7044,55449.43204,66149.02697,52769.46075,63022.69843,67879.87027,62208.71211,69819.96107,41348.25648,60895.02583,50278.66065,30730.56143,73322.88109,25687.75048,92390.16527,50307.35425,39922.09357,53566.39711,32037.99709,27531.01581,23829.36462,19939.59161,32609.07099,39093.81317,17181.71614,38111.88312,12610.5016,17333.49231,28769.77333,16901.59808,63517.45298,10864.87187,16415.06833,21629.39688,5782.489647,46672.10758,6741.389882,4814.765515,29231.84206,43121.85268,54135.84049,18130.25152,21285.31631,65367.32218,8824.90124,69992.63939,63156.84892,85936.63066
CLINTON PARK TRI-COMMUNITY,36387.23979,16250.59019,27069.48207,0,62876.54362,77685.45727,35995.19654,22840.15285,126857.5146,47871.74286,19380.12242,9332.617782,4894.534857,13807.75059,54062.18656,41454.9995,22704.71822,46473.91604,31285.92973,66272.03472,88186.77596,17006.42674,78234.23659,27369.83555,21231.57351,72822.40833,47134.18558,61059.61857,25753.86797,94751.6708,37391.3,26820.76687,64830.93763,49727.17947,66978.2515,38059.01209,111053.7185,76866.65198,77419.933,104650.3574,88890.0116,82845.59016,95797.96618,81085.86818,91078.46183,85953.76716,84466.36211,48154.44115,46968.92383,86179.36407,65662.00653,40974.57185,101300.3134,13637.89998,68752.22282,73737.83461,62092.08302,80504.35886,52131.90348,30768.31971,43336.29037,31506.34784,15045.02268,16029.71651,40354.61652,66203.11172,30839.91718,20046.81343,8154.620911,42763.57407,92906.40968,37398.5892,12629.13819,50427.51951,25873.86757,76032.36859,18298.51198,32957.69441,53273.59098,68616.64898,35902.20943,7294.463074,50983.12812,95195.62404,38776.14998,99898.50047,92762.05295,115300.3807
GREATER UPTOWN,29535.38487,41742.36606,33133.21899,62876.54362,0,34415.86063,70111.32185,57499.07467,55229.953,12908.01068,41211.36662,51855.11657,61247.3292,76327.65935,17760.29536,23199.80313,44041.65839,62450.81683,35736.74475,11650.87385,25259.42898,68342.65368,17407.59526,81424.04503,62507.20206,24635.81585,32953.66571,22732.83864,51028.93174,35052.09115,45830.79759,67962.54218,33478.91617,40044.19827,50066.04757,61411.32668,69086.44952,60639.94941,84120.27754,132326.3011,124644.0036,28305.48304,36692.28956,16615.94877,34240.08013,51776.72381,45575.80078,96418.75212,54853.73775,31950.58805,39563.04897,42776.42919,35507.80521,58259.59014,118569.7242,33871.72418,28648.71553,24669.01572,32301.06201,48614.38334,31581.87575,39700.06788,65016.51542,70633.64475,30400.00157,12266.74325,34566.11862,46607.53164,62779.88411,22563.59239,23550.44619,31156.5074,49738.86239,12425.53591,34448.86628,7768.58545,41134.50228,30257.6123,22563.84157,24248.45634,82237.22962,52852.61721,8042.814909,23446.94374,21899.8514,28820.59102,25276.98855,47731.04381
GREATER INWOOD,51200.98074,58048.78063,52354.54322,77685.45727,34415.86063,0,101097.5315,85433.83497,70843.50297,33193.19019,51476.07957,61841.90716,67156.85827,81426.2259,23548.14732,30328.34575,47751.53311,96852.33965,38674.62664,19249.46844,22721.29643,69906.92648,18648.64153,82790.04859,63988.16887,15081.86064,24763.64161,11984.45532,50442.34873,20054.58404,38286.9172,63430.15617,7707.019425,25312.77034,21389.80807,51660.60823,29211.26944,26495.79515,55415.7492,106928.2493,107983.4866,7936.739733,25297.7977,56019.26386,70489.84714,93426.34149,87564.21029,122998.1583,91171.64387,73122.36471,81574.98937,77716.56538,69255.48614,82458.7706,145572.4617,76078.94078,69591.23476,66309.82289,70074.36468,81122.02051,67683.29382,71888.8563,89416.03398,92999.23779,62161.30504,54222.92491,63128.76665,70852.4317,82401.86074,56531.03135,54468.39793,60564.76357,72985.20117,50164.55121,60733.9496,46445.37955,62969.79972,54945.18527,62880.11607,66234.39279,109083.7927,71797.07587,43206.87702,48328.48969,47845.07437,43984.0233,29763.82595,47308.20722
GREATER HOBBY AREA,56644.1612,42607.33717,48060.55294,35995.19654,70111.32185,101097.5315,0,9020.366657,122719.4417,58844.02797,49619.31418,41985.50267,45731.05957,48055.17932,72011.09222,62911.97174,61106.63906,9757.327213,58648.08993,80318.3054,103213.3895,59930.8066,94990.46543,68974.31807,63019.96014,95149.69552,75675.06079,80121.0068,64735.87014,112300.8826,73690.74546,69292.74733,89895.23117,80640.31135,100819.9918,80491.84254,137965.0128,111978.8542,118684.0195,146743.8183,130427.9731,101613.3432,114487.3774,73917.37569,84929.20044,60621.54403,69483.9315,15048.61881,18080.02994,71113.91969,41369.45887,23172.27508,91086.78117,26454.73851,37354.69294,60915.61529,52429.95845,72179.99564,42448.95522,17681.15988,38899.70762,29501.65087,20282.18217,15173.44505,45005.57426,68665.53092,36020.70038,26405.0747,30064.05859,50790.17287,90734.68989,47663.93534,31912.03397,58045.64507,37242.97611,73916.93422,39444.1864,50097.57793,51108.92119,59439.30317,14630.01566,35326.6045,60939.86565,93523.49935,53074.52274,100879.7594,98539.25053,120733.6077
GOLFCREST / BELLFORT / REVEILLE,40907.66919,26553.45097,32126.87938,22840.15285,57499.07467,85433.83497,9020.366657,0,114458.4485,43812.39067,33556.01348,27329.45097,31715.74014,38259.10346,56422.86006,46793.61795,45496.3153,14848.14432,42460.8,65512.77643,89021.19693,45777.69878,80664.66913,55951.07156,47988.60014,79889.34053,59498.20539,63934.98391,49625.64933,97774.04292,57770.84982,55887.48771,73441.18148,63821.81626,84642.51774,65424.32429,122150.3373,95343.1187,103713.3758,134103.2606,118342.1907,86514.04751,100077.1534,65377.51006,77926.08126,60706.94771,65853.76996,25664.81011,17864.45655,66299.29264,40763.50576,17132.33718,84570.21763,11554.31718,48883.65991,54831.01016,43569.47251,64088.89005,32746.60905,9198.758551,28095.65523,14336.29002,8962.234032,10380.86403,31970.27573,57155.65207,20210.30852,10548.03126,16737.86513,37025.05161,80476.87171,33240.7464,15966.77471,43867.23312,21388.50402,63205.12936,23352.43358,34701.75806,39536.09887,49922.99581,18239.35015,20431.08501,46312.19263,83740.61574,38116.87762,90199.05966,86188.51364,108931.9665
ELDRIDGE / WEST OAKS,93522.09257,105134.8379,97076.39279,126857.5146,55229.953,70843.50297,122719.4417,114458.4485,0,71550.89152,105076.8927,114399.4073,125063.7479,131825.6233,72968.31443,79140.19281,106397.0805,113699.8799,98845.42948,59889.19811,44047.77927,128371.0388,52274.92317,144558.0267,125725.062,60643.73685,89421.64413,69425.26128,112060.0151,51335.24583,106878.337,128126.5121,78248.6325,92740.97206,96402.98,118739.7827,82634.26687,100786.9005,124125.0234,172176.4149,169077.831,55017.4454,45506.96932,41114.82297,44067.40232,71286.65653,67519.09081,138534.7179,102722.3856,49838.12787,72099.86064,98072.96887,24400.83066,119989.3483,169285.693,64975.59211,74525.83074,51473.28419,82399.5069,105665.5707,86383.60887,98069.21533,126174.7374,131421.1741,87298.99949,58975.84553,94988.8368,109117.0628,124415.9835,83499.28514,28939.87631,92436.93503,112159.6573,70458.47265,96676.98769,44801.74028,104396.3846,93341.45088,75669.50714,61979.30394,140589.9702,116297.5619,70366.85318,23722.04733,85542.96944,15121.6881,23998.13872,18724.40136
WASHINGTON AVENUE COALITION / MEMORIAL PARK,14654.17026,25770.7088,18266.73501,47871.74286,12908.01068,33193.19019,58844.02797,43812.39067,71550.89152,0,25292.06816,35354.62388,45175.12078,51956.67395,7245.760214,7373.988756,27043.01051,57194.64476,19291.87498,13044.90893,37390.82343,48769.39564,28968.40172,65022.41974,46083.28208,26626.60018,18295.12169,16093.09715,33873.46847,45084.39481,29230.81746,50211.94854,27532.05222,28570.09446,39793.66556,43711.77481,70419.62333,56042.45564,75750.10062,117257.0718,105155.3541,33165.06269,47584.39407,31939.33752,50426.48961,63192.12508,56294.99764,79928.13304,49669.88404,45494.22464,48055.35756,38780.19915,51729.03781,45689.34808,102461.2534,42312.94886,33906.97488,37886.81348,31257.38927,40136.30795,26862.62387,30819.37175,52693.60553,58105.24406,21222.00678,22179.48367,23146.24937,33230.90621,48128.51633,15916.54812,41810.013,20346.91189,36843.91077,12451.36763,22402.85402,23526.84059,27494.46359,16650.04428,25329.12358,32986.07108,71196.25042,38742.15661,6215.774409,40537.31578,8312.49291,44056.32118,36662.43051,59263.28988
