,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
IAH / AIRPORT AREA,68036.38742,65082.47002,62941.99803,62670.53772,71246.1224,43725.2901,104038.8197,89126.2674,109069.6526,62035.46721,53732.94629,52689.899,51943.53446,56554.61268,59067.38141,50036.8971,46907.52979,104535.6501,46258.42119,62553.41892,73097.38157,49224.32761,66902.17938,49915.14208,41518.01072,62182.08588,41438.55072,45596.20753,34201.82675,70365.47039,25922.516,28497.486,34264.27977,23650.53655,28744.83131,12291.97168,55004.49155,13063.53077,0,15200.90862,23374.43217,55950.71085,75810.46258,95393.10657,114885.9649,130651.3033,123728.8543,113378.1152,106614.3085,111674.0751,100772.6428,96137.25537,109410.1615,82428.90225,124568.7667,109555.6608,100919.7229,104618.9086,95505.02139,91258.47616,89771.73424,84772.31441,85938.91555,85344.14359,82682.53066,88952.3907,80395.11811,78164.18285,78737.10124,79417.51917,99973.59965,78487.20107,74699.3256,78085.64554,73609.36997,88301.30681,71350.20436,70928.49697,91305.2449,99973.88886,107103.8618,68690.04227,71615.16375,95765.21676,69191.79727,85756.87456,78489.48797,85314.39859
KINGWOOD AREA,106700.5147,102051.049,100314.795,93935.52367,112746.4739,85122.45138,136550.1642,123057.8574,150615.5744,100752.8176,89122.97594,86276.56041,84827.33247,82647.39344,100833.9559,89353.99958,82783.9097,139456.7471,84425.80864,104711.4524,114767.1079,75747.22215,108907.7301,74895.70276,74184.15143,104502.0433,82354.00207,87016.73568,68945.71206,111527.5118,63945.57138,57773.25085,75937.61632,64357.40848,70190.41952,45546.25595,93175.43963,52520.93297,15200.90862,0,1200.197958,97424.96541,117016.8004,136804.3741,156596.3379,170643.7179,163983.293,142531.0234,142199.5968,152624.7261,137073.0341,132976.1692,151106.3076,115835.4311,146768.0008,149525.4339,140698.804,145598.5866,134397.9191,126888.0602,127417.6148,120724.1746,117873.8108,113882.0731,121239.1125,129664.8045,118417.9341,114627.9419,110784.7377,117768.5688,142038.6554,116523.751,109996.0444,117623.1953,111221.7113,129631.2784,108349.38,109259.7052,130565.7042,139882.157,137427.8416,103042.2412,111465.9383,138011.8751,108063.8112,127859.5324,120543.4125,125862.3232
LAKE HOUSTON,89712.68692,76035.5705,80771.33631,62020.8841,105818.8097,87585.6095,101746.1925,91107.9486,149625.8412,84948.35839,65994.044,60689.66904,57778.08298,45751.57124,92284.24686,78514.70699,59491.16734,108596.2624,71382.54032,101408.6022,115439.8124,42047.88674,107940.303,38557.60601,48470.30179,102481.8043,76837.4902,83029.41349,48869.12006,114160.4117,53172.93666,32430.31762,76515.62284,62111.15685,72790.52221,36876.68511,103492.5535,59488.49224,23374.43217,1200.197958,0,99376.90529,119517.4,127402.8235,147195.9085,149189.2444,148396.381,101817.7783,112580.6157,140464.2467,116121.6838,107252.3929,145491.293,84093.46142,105010.9502,133617.2233,123058.2832,133968.3619,114903.1973,98816.67895,105496.1523,94417.59085,83609.62334,76864.41045,102401.8236,118271.2818,93589.51262,89794.23136,76393.01859,99358.41268,136935.1598,97143.44061,81530.06964,102957.6042,90137.57963,120349.5673,83243.69805,91331.80624,113617.6948,124294.176,99429.00149,74777.19929,98333.72743,134254.8544,92516.81229,125649.1025,119249.6596,129098.7052
FAIRBANKS / NORTHWEST CROSSING,45166.15579,53906.79783,47895.98605,75202.3007,20401.47972,1546.508974,92564.39746,77496.08252,40872.49566,23987.20968,49417.72834,60563.58236,67135.79342,76186.1512,14915.11313,23468.53262,46955.30976,87980.25129,38133.5726,5726.04985,3276.472119,70432.93768,1595.947897,83904.91287,65409.37656,2347.193083,26017.37814,3985.020378,50985.74737,1126.399089,41095.44421,65651.02318,10364.33819,25618.32404,26083.66269,54994.28493,27487.56684,31779.54076,55950.71085,97424.96541,99376.90529,0,5962.638304,41374.84379,53406.25529,79678.02753,72982.59709,110600.8978,81830.34046,58394.36797,68407.28181,68580.34064,47266.45296,77119.03852,136323.6395,61722.23186,57400.2683,51729.7237,59652.04232,72986.03775,57965.00695,63619.33548,84170.92097,88730.63572,53902.50329,40921.42947,55725.79835,65718.28093,78186.41865,46921.55254,36893.431,52930.91976,68199.09204,38951.4881,54642.51244,31427.11023,57955.91193,48325.11065,50965.38458,51922.89289,103692.3196,68523.31196,31915.69777,29680.3937,40171.6635,20570.71839,10759.87529,17192.7678
WESTBRANCH,58760.20188,69909.20785,62224.18908,92071.54565,30288.46625,19249.87636,105458.7969,91290.86582,32702.27805,37339.1936,66698.7392,78097.81314,84525.16503,94797.31136,30806.66412,41020.08125,64909.34014,99915.40404,56810.30396,18289.17361,1399.885015,89361.5989,8727.625924,102463.8882,82922.80036,14133.53618,43917.59017,23059.52293,69837.44531,1264.953675,60504.21941,85114.3834,29856.62819,45384.1058,43616.87903,74493.92105,35014.53774,50293.33362,75810.46258,117016.8004,119517.4,5962.638304,0,42697.57795,53145.47464,83045.93763,74582.98231,123570.4984,90843.19117,60193.1967,74830.24906,79957.29752,44863.24354,90767.61031,150790.7506,64352.96613,63680.64374,53554.37389,67679.61852,85420.46566,66943.86828,75113.76792,97688.79045,104026.4528,64949.26237,44632.42534,68359.07955,80402.4181,93390.04567,57560.57792,35356.06912,64776.06561,81610.4114,47727.82393,67014.8955,33585.19661,72052.2768,61278.61289,58756.8032,56395.93559,117936.0602,82937.06058,42864.0813,26572.77412,53253.66798,18839.00039,6122.885094,6756.657529
SHARPSTOWN,39896.06548,51303.3571,43470.75755,71540.50571,8983.103579,49074.87988,65522.41858,56934.7553,20022.30737,23433.55013,52951.06569,60480.14223,71928.1722,79362.18564,34095.65785,39042.22947,57521.20553,55995.13663,48836.93213,26406.12187,33503.12161,78118.41316,27480.90347,94074.71347,75366.61001,36611.74049,49167.68008,38506.52875,65169.77759,43790.21341,60890.65506,81268.42806,48935.03737,56097.94631,66299.36897,75759.87983,80140.73916,77060.95796,95393.10657,136804.3741,127402.8235,41374.84379,42697.57795,0,2380.902418,27468.60964,21742.8985,82732.28664,45156.58403,6010.823209,22780.86484,39244.21872,3553.82095,62180.69394,112527.0166,10913.68994,16023.26127,1139.560941,24441.9316,47754.26562,27558.12447,39248.34781,67950.82576,73764.61208,29099.43788,1952.923565,36448.28316,52514.27456,67137.3215,26247.63177,2900.423948,35626.93909,55166.74741,14125.47519,40194.92367,1543.836859,48761.61179,37362.97012,17172.88407,4581.604521,81855.38945,60304.01838,15360.62204,8826.311794,30112.60908,16814.24933,25048.10522,34119.57148
WESTWOOD,55887.73381,66911.65942,59393.64773,87058.4785,26591.34083,63419.3935,76705.59059,70330.62775,23536.09917,41546.0742,69589.34237,78563.20565,87289.01332,97150.36958,50011.27329,55847.96801,74701.66134,64770.96616,65343.59239,42459.02235,43920.61455,95471.44781,39263.70785,110243.3893,91935.95332,49165.20627,65829.4452,55435.72487,84013.36745,53226.91696,78810.63801,99466.17717,65636.04957,73860.02973,81495.04919,95315.45789,91490.18365,95114.59442,114885.9649,156596.3379,147195.9085,53406.25529,53145.47464,2380.902418,0,25518.61419,17337.41621,93117.08704,53042.99977,1859.118861,25463.32513,49461.83024,2491.805283,76512.38111,123023.4582,14626.52612,24935.19509,1381.253633,32966.09911,60881.03337,40643.95356,52130.63516,81432.81591,87490.5461,43560.06455,16728.31674,50891.78806,67147.29456,82515.57221,39753.5638,11772.93718,50588.87123,70617.97032,30691.5964,55872.90255,14322.78897,64094.36237,53176.67532,29888.87486,13436.40742,94120.10057,76129.82563,32862.7626,18567.16652,46131.15474,25179.06835,35715.63864,41513.30257
FORT BEND HOUSTON,61120.63239,66941.45503,62903.12761,78231.35622,43711.70531,86602.43741,50088.55314,50687.3574,53269.5092,56211.11032,71308.96989,74300.83025,81598.20275,91585.1248,66532.48569,68927.39367,80955.29818,33318.23416,71408.33948,63905.7851,72763.46465,94823.20362,64357.29119,108525.9087,92912.73814,75712.65031,80219.01501,74513.76128,89957.18555,82590.03487,87996.14836,101262.2577,85564.12255,87465.36745,100758.1389,103603.1838,120060.352,113915.1899,130651.3033,170643.7179,149189.2444,79678.02753,83045.93763,27468.60964,25518.61419,0,2964.174366,61749.494,23119.61832,8930.663946,3921.563399,26949.45375,26749.01715,64858.71915,89176.12352,9887.324902,18995.39932,24556.91901,24844.12667,42382.33894,34237.439,40842.77626,66572.58683,67568.57838,40713.62872,31535.39375,45402.04219,56025.34834,70437.92815,40851.99625,42684.26489,51332.50049,63262.76011,42275.37604,55317.25709,41579.8033,62907.13868,55214.40685,30615.67344,21391.84442,69617.51865,70188.91277,45790.74793,48907.80181,52452.34793,54297.28887,64397.4276,72295.8129
FONDREN GARDENS,56098.28197,64262.39981,58796.69545,80900.98637,37495.68111,79793.10852,61515.22332,58230.54197,49520.52872,49324.71457,68616.56726,75090.48802,82627.74097,93237.61904,58919.06732,61899.00082,76544.80898,46596.77067,66715.80058,55825.93344,65340.45645,93280.0977,59044.78137,107623.2257,91061.19237,67252.66917,73194.03009,67976.17856,86157.19344,75756.70644,82281.4558,99604.99965,78407.05207,80510.73992,93102.90058,98821.71211,111551.0614,107243.7199,123728.8543,163983.293,148396.381,72982.59709,74582.98231,21742.8985,17337.41621,2964.174366,0,76426.80528,35553.81638,4950.819288,5923.803991,35448.70481,22401.89117,67353.01725,105267.9884,3120.399612,13332.66172,16062.24669,21820.70599,48798.57685,32650.44225,42970.34738,70865.37294,75403.83801,37768.92356,23718.18234,44649.95338,58844.56056,74174.3637,35683.2947,36126.14861,47917.59017,63645.53978,35170.70012,52034.06671,33046.3718,60575.01892,51000.5852,24463.46953,12879.69618,80057.94027,70441.48225,38905.6318,43135.43068,46318.11087,50495.02236,57800.88965,68896.7828
SOUTH BELT / ELLINGTON,65105.92792,49364.38131,56260.5604,38454.03402,79149.31418,109746.404,2430.027742,13743.39253,117678.3476,66847.46085,56087.84938,40951.16221,48392.3839,43907.68995,80624.39439,70897.00806,65829.46027,14943.54321,66200.6652,89259.42962,112299.6103,61849.76777,104057.5529,66825.74317,66593.06486,103994.9636,83151.56587,86983.84831,68283.18479,121376.7021,75007.8262,68029.10527,97482.79204,81180.34053,108177.8255,83497.8081,146463.0604,115300.101,113378.1152,142531.0234,101817.7783,110600.8978,123570.4984,82732.28664,93117.08704,61749.494,76426.80528,0,25813.34083,78473.66956,42606.66699,31755.8893,98951.23154,32378.46694,1708.995275,68753.6706,61240.02692,80690.96737,51345.14818,26180.76135,47739.65365,37909.53185,24875.61697,14364.10916,53910.40258,77739.06153,44200.37465,33123.7812,32089.72265,59961.13316,99649.97378,56521.3164,38683.08572,66999.57504,45422.35817,82977.81988,47270.43775,58721.95077,60159.93773,68312.32506,3719.540407,40071.68835,69850.20511,102501.8359,61887.64458,101868.3136,106453.8409,124912.986
