,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
GREATER FIFTH WARD,13576.61484,3635.765862,4699.09246,16346.17042,37956.53743,47590.62001,44692.97146,28543.86575,93550.38699,17288.21677,0,3327.978509,11705.47464,23789.6317,25772.61258,12232.3453,3372.669199,48723.44824,4111.094016,38368.62307,60437.01082,16710.22484,52381.45443,32372.44232,14028.32935,45819.04264,17969.6976,28644.64434,10381.19149,66262.31744,15861.46181,21139.33907,35351.1828,20690.68539,42322.06555,24899.20609,82318.73739,53733.34611,59485.58505,95086.99447,74183.22216,52623.57764,69296.4175,56971.69551,71915.09469,73352.2092,71017.11938,60522.13734,45161.69582,66122.01008,51439.37372,35125.7763,77815.72588,23505.42464,82732.78144,56545.30158,45828.45513,58286.53097,38312.10237,29723.57685,29855.17086,23041.33547,29624.003,31969.35372,25254.38572,45083.58504,20029.83848,16589.06684,21800.36868,23173.26999,67147.8896,20005.44666,13662.88895,27273.75976,13576.57208,50140.85193,9746.020062,14143.04423,36349.3666,49512.55821,49917.58186,10731.06823,24935.32486,67748.78138,16872.5857,66805.62184,62883.41121,83062.57501
DENVER HARBOR / PORT HOUSTON,23707.169,5355.143889,14104.28596,5037.801618,48570.23844,57557.88491,37190.53437,22328.65728,102866.9913,27372.17982,3327.978509,0,2631.748447,15695.25438,36958.45554,23427.57169,6502.299787,40470.23335,15332.76822,49541.53733,71786.32393,10553.45517,63758.38686,25012.99488,9171.326403,56847.00575,28084.33855,39622.61666,10250.82044,77233.46333,19839.1255,16322.0596,45133.2889,28331.71358,50884.05513,25918.22803,91770.12446,59501.78585,58754.56909,91625.45438,69032.17803,63688.83976,80472.15671,64205.59194,81284.98014,76667.04907,77689.28476,49160.61001,41467.40996,72659.34829,53666.54371,34655.89825,85110.63389,15722.84683,64282.31375,63634.0968,52217.79217,67036.0652,42758.57617,26793.71638,33784.89948,22974.79124,20098.57728,21217.99172,32181.10751,53073.99525,20814.45555,16097.29327,12535.03977,30283.63171,76771.94897,27644.94482,8969.514129,36630.77949,18706.64099,58662.63961,11493.98134,22274.91336,44005.52601,55210.68706,41346.07793,2892.397569,34564.565,76983.55511,27099.89539,76674.99444,73701.12921,94086.68837
PLEASANTVILLE AREA,31166.9362,12792.00257,22763.97821,2285.172033,57972.55669,62986.12336,41207.98228,27157.00883,113637.7671,37262.87549,11705.47464,2631.748447,0,10201.25988,45010.55332,31158.24374,8082.332698,48976.65571,22462.47098,57478.44037,78770.04475,5622.935281,70759.41322,17973.9137,5608.54228,63413.22521,34088.7413,46192.60235,10472.39025,83368.30773,21815.6015,14045.20673,49969.11847,32036.51867,53599.58152,22576.49824,95915.02278,60317.62043,58172.36353,89946.578,66391.87553,70112.36822,86995.51953,75954.49289,88798.4582,84595.48651,84864.22562,52798.01598,48434.81828,82083.38659,60809.65731,41220.67077,96755.49187,19428.54656,71372.91122,71406.90379,60167.08952,75821.17072,50005.56526,33138.42673,41830.20094,28901.63568,21808.26716,21451.8529,39147.51051,64172.65959,28278.22434,23787.46835,15011.44556,40449.8474,87361.35511,34875.90007,15586.27809,46601.55941,25365.41655,70330.89801,17636.0778,29581.61254,51224.8682,65783.80147,42873.6032,8730.914239,45094.68083,87888.62449,35063.39675,86609.08674,82152.48279,102055.8032
NORTHSHORE,45742.88409,25043.2664,35853.72011,8897.704546,70308.16918,75069.62543,45077.83645,34900.04232,120410.9292,44116.543,23789.6317,15695.25438,10201.25988,0,56794.18998,43216.40157,18762.27075,54835.90827,36986.39912,69388.928,92960.12819,4029.35896,85023.74648,10147.27295,14557.17764,77128.04259,46617.9104,53963.64482,19004.3671,97151.21335,33823.90649,14560.93073,60149.07464,40161.57874,65694.15253,28519.17992,107140.9815,68940.71763,62998.10655,86243.45129,54577.80489,82258.3392,100979.803,85357.72071,103247.4145,95207.8398,98280.66421,47764.83325,57852.95282,94196.86449,70503.641,52615.96591,105977.2931,27754.56841,59768.22343,84392.77659,72799.77729,88888.93888,62916.78373,43815.38057,54075.24679,40857.34615,27160.98589,21428.12717,53066.48046,75185.93404,40417.31911,34489.66598,20104.74945,51927.96468,98979.33793,49155.07474,26837.07855,58688.75465,38907.39327,79378.03714,30953.52299,43951.20026,65013.61261,76166.45991,44393.51297,21225.27564,56674.33662,98287.97583,49301.39195,93863.57126,91690.28898,109125.5645
LAZYBROOK / TIMBERGROVE,18197.37451,27737.13434,21353.92234,49731.61875,12496.09316,19321.90108,67037.34036,51434.35502,61873.41098,4118.463294,25772.61258,36958.45554,45010.55332,56794.18998,0,3552.65125,25596.06605,64376.11723,18354.91071,4189.793407,25091.36991,49773.68117,17318.87784,63660.18189,45024.30212,11010.31905,12155.50411,5074.003972,33459.177,30783.93879,26940.92281,49566.9922,14942.62394,20630.8983,28437.6022,43668.93722,54772.87601,45305.27237,65375.12875,109324.8901,98999.07532,18703.29523,33575.70847,37745.71805,51607.78306,69092.70195,60687.82288,85754.10803,56913.01839,52690.51034,52404.43327,44823.95799,55122.01222,50114.41413,110274.4268,47616.17381,40413.08904,43121.4857,38850.41118,46831.29718,33734.60135,37548.73008,57203.11485,61981.74656,27793.26612,27651.35477,29007.00539,38614.29496,51594.01861,22822.26518,40817.73061,26318.76402,41203.20743,18219.85155,27662.06386,27412.89905,31203.00632,21329.75281,31242.58927,38272.58233,76328.3859,42018.10837,11599.32626,37928.93927,13548.76332,34054.41826,28211.88469,47838.64485
GREATER HEIGHTS,10846.83792,16490.39899,10903.79657,37192.53566,18366.88294,25745.75444,58534.35877,41749.19981,68078.4902,4153.344527,12232.3453,23427.57169,31158.24374,43216.40157,3552.65125,0,12571.79262,58209.67913,4553.582571,14554.84354,37879.36143,36661.88086,29947.28073,49893.95082,31216.22206,22958.48097,4711.221074,5289.634291,19918.51562,43330.56153,13392.16486,36166.81162,15737.97791,11502.86181,27491.70268,29807.20136,61893.59431,43893.5735,55769.68134,97437.97955,85538.92798,28916.83897,46406.29872,42826.96866,58083.03655,71255.7096,64426.0382,75419.62692,52772.66765,56116.11229,51024.24578,40339.34908,61251.20727,40623.53616,99003.22915,50165.608,41490.40205,46776.78229,36662.42761,41310.9928,32382.98335,33148.93275,47528.35517,51223.38259,24530.35608,31648.81648,23675.1956,28615.48387,40641.67141,21497.94117,47530.94768,21641.76019,31146.13468,19044.17712,19597.24921,33222.2428,21294.91162,14538.749,32099.54421,40604.76963,67166.77019,30538.42122,12749.54842,45527.10706,10572.43756,40283.42917,36835.73146,54007.72385
KASHMERE GARDENS,19962.66287,14178.56459,12560.40887,18569.52717,40236.18531,43616.58839,56317.91299,40740.55609,95033.49534,19593.70989,3372.669199,6502.299787,8082.332698,18762.27075,25596.06605,12571.79262,0,61858.81952,5492.860518,37834.91373,60879.13533,10686.10838,52761.03275,26271.17127,7727.739084,44707.93396,14293.84253,26031.7446,3552.872498,64734.78698,8926.30219,15015.07221,30722.60403,14424.81831,36502.52216,18390.06374,77415.03676,47043.03571,52603.67734,89050.72257,67758.95137,49948.96245,68557.76332,61459.78782,77742.48866,83120.71432,78996.85226,70318.5403,57551.06142,72757.61978,61365.38142,46639.76577,81962.48909,31644.52147,89707.0559,64263.12674,54551.02994,64181.28528,47405.1112,42746.55314,39677.94358,35104.45434,36373.37913,39378.89524,34028.7378,49756.40556,30291.63499,29795.28582,28706.64547,30875.96084,70027.62576,28875.66815,23892.91265,32961.83746,23236.1549,53367.4071,20220.38461,22217.42858,44281.74179,56423.52269,58338.84782,18341.96531,28956.68661,69645.81587,22504.47706,67676.4757,62570.15416,82237.64766
MINNETEX,49941.30355,41891.86342,43404.11733,40897.21494,58477.56245,92818.81128,5267.180764,9067.181199,103489.3664,52957.04645,48723.44824,40470.23335,48976.65571,54835.90827,64376.11723,58209.67913,61858.81952,0,55135.34473,70114.58883,91272.81675,63731.70556,83460.97907,74705.86336,65192.60115,85856.93892,71781.09515,73259.57315,66684.51369,100913.5802,67898.75823,69165.0405,84091.82006,72622.40689,96242.6076,82161.04958,130164.5008,105098.9573,110266.2556,144482.1529,117647.8371,91509.59353,102809.0428,59306.01417,67626.8078,38818.30085,50820.63533,24411.64265,3091.903898,52929.20244,20289.58039,10881.83966,74239.84938,28648.76454,48812.74545,43362.32501,36873.27445,55735.0553,28124.4883,9484.414729,25856.98928,23326.49387,25753.39399,23609.74387,33757.57618,53667.96036,30794.88796,25517.79596,35257.75699,38162.82609,75496.17671,38475.38835,31681.22815,47225.28518,33472.74122,62843.79434,36695.8377,43047.97437,37013.12745,44247.68805,23923.56668,37938.39135,51164.94032,81579.00461,44470.97568,86162.78444,87735.05389,107596.0441
NEAR NORTHSIDE,10788.51652,8940.362679,5663.810663,28172.13227,32409.89275,35310.3051,53689.37639,37313.58506,87460.59011,11579.22279,4111.094016,15332.76822,22462.47098,36986.39912,18354.91071,4553.582571,5492.860518,55135.34473,0,29724.69927,50870.5348,29892.12808,42748.23542,41612.94083,22012.41154,35148.3511,5982.902948,17069.61186,12551.89053,55336.07267,7498.217224,28756.48722,22363.57068,9456.716297,29922.71557,22930.94046,69777.02409,42424.34629,51892.91961,92074.50323,78705.14422,40805.87111,58913.84262,52802.48568,67578.10018,74764.46619,69471.7253,70559.71548,50307.10324,63521.89645,52230.79307,38919.48542,73453.01115,33537.28789,93496.84546,54837.15357,45457.98505,55015.80166,38485.39468,36570.71564,31954.0326,29638.1585,40126.55966,42930.97599,25228.85441,41015.33996,22561.80781,24288.09495,32444.35222,21760.40904,61988.61984,20665.95461,23334.57129,23640.30897,15945.87486,45135.13229,15055.87635,13303.17507,34979.27699,47093.41683,59982.88677,21850.56184,20299.57019,62111.07415,12837.40461,60220.36482,54237.02568,73461.80234
SPRING BRANCH EAST,30145.48173,40371.45327,33627.86788,62434.26729,6618.680698,15721.83595,75414.60147,60813.7288,48948.26741,7369.691005,38368.62307,49541.53733,57478.44037,69388.928,4189.793407,14554.84354,37834.91373,70114.58883,29724.69927,0,12866.46032,62079.69302,5007.375131,75812.53247,57335.53182,4145.85644,20018.11315,6078.154466,44752.79614,18968.57419,37405.10111,61078.10963,16489.6378,27411.68291,32203.89238,53552.25612,48334.43854,45205.80262,68975.59801,113610.9818,108001.8607,8921.49939,21566.83502,29701.9026,44644.75699,67023.47189,58628.81425,95035.36969,64247.07542,46624.0894,52200.10443,51029.16705,44602.80618,61771.53831,120321.6773,46929.79183,40510.11537,37549.29629,42034.47746,55788.14465,40401.46445,46434.13057,68822.32029,74026.44847,36922.19636,25119.24424,39247.47912,49263.33909,63825.98554,29443.60027,30171.17353,36406.25875,52871.31171,21439.26878,38510.94027,19357.3132,43342.33221,32648.66177,33853.40322,37261.71388,87440.82498,54302.29421,14451.90819,26177.11547,24122.47525,21162.84017,14889.65165,34565.08394
